investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Hite Capital,0.004545454545454545,0.004545454545454545,0.0,0.06063804477539078,3.785,1.8658375979579316,1.0,250,644,38,1,249
Jeff Kearl,0.005454545454545455,0.005454545454545455,0.0,0.11060629644547897,4.9182,1.696505322184927,1.0,192,644,20,2,190
Youssri Helmy,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,1.6757930375885124,1.0,575,644,931,4,571
Qi Lu,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,1.6757930375885124,1.0,575,644,931,4,571
Marten Mickos,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,1.6757930375885124,1.0,575,644,931,4,571
Stephen Marcus,0.0,0.007272727272727273,0.0,6.450860072587633e-20,5.1552,1.5873302905450393,1.0,119,644,931,6,113
Avid Larizadeh,0.0,0.007272727272727273,0.0,6.450860072587633e-20,5.1552,1.5873302905450393,1.0,119,644,931,6,113
David Cowan,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3994,1.3732958094363,4.0,429,644,931,8,421
Cronus Ventures,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.4999000000000002,1.3489112879853538,1.0,429,644,931,9,420
Anton Commissaris,0.0,0.006363636363636364,0.0,6.450860072587633e-20,2.7992999999999997,1.3007828122254348,1.0,144,644,931,10,134
Tom Pinckney,0.0,0.006363636363636364,0.0,6.450860072587633e-20,4.0173,1.239866656843009,1.0,144,644,931,11,133
Dustin Moskovitz,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.3764,1.187938486653011,4.0,575,644,931,12,563
Micah Siegel,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3295,1.1449100282117073,1.0,429,644,931,13,416
Angus Davis,0.0,0.006363636363636364,0.0,6.450860072587633e-20,2.7992999999999997,1.123060010898758,2.0,144,644,931,14,130
Manu Kumar,0.0,0.005454545454545455,0.0,6.450860072587633e-20,5.2051,1.0730510279733554,2.0,192,644,931,15,177
"lessin X2, llc",0.0,0.0036363636363636364,0.0,6.450860072587633e-20,2.6616,1.0374393438685618,1.0,319,644,931,16,303
Bradley Horowitz,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3994,1.016381859450228,2.0,429,644,931,17,412
Hiroshi Mikitani,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.9932395248743514,1.0,192,644,931,19,173
Lars Dalgaard,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.9932395248743514,1.0,192,644,931,19,173
Paul Sagan,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.9932395248743514,1.0,192,644,931,19,173
Carl Uminski,0.005454545454545455,0.005454545454545455,0.0,3.047718917351348e-10,3.5556,0.988859333259086,1.0,192,644,565,22,170
Jon Craton,0.005454545454545455,0.005454545454545455,0.0,3.047718917351348e-10,3.5556,0.988859333259086,1.0,192,644,565,22,170
Andrew Thornton,0.0,0.006363636363636364,0.0,6.450860072587633e-20,4.1482,0.988859333259086,1.0,144,644,931,22,122
Patrick Pohlen,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.7322,0.9800353700705526,1.0,575,644,931,25,550
David Lawee,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.7322,0.9800353700705526,1.0,575,644,931,25,550
Michael Abbott,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.7322,0.9800353700705526,1.0,575,644,931,25,550
Glenn Winokur,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.1759,0.9320312208381524,1.0,429,644,931,27,402
Diane Greene,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,0.930478882004877,5.0,575,644,931,28,547
Scott Petry,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.1878,0.9011194266769682,1.0,192,644,931,29,163
Jim Barnett,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.529,0.8909866429653539,1.0,429,644,931,30,399
iOCS Corporation,0.0,0.005454545454545455,0.0,6.450860072587633e-20,4.1868,0.8236432372553567,1.0,192,644,931,31,161
Five Mill Ventures,0.0,0.008181818181818182,0.0,6.450860072587633e-20,7.005599999999999,0.8193434104052961,1.0,99,644,931,32,67
The Iron Yard,0.0,0.008181818181818182,0.0,6.450860072587633e-20,7.005599999999999,0.8193434104052961,1.0,99,644,931,32,67
Gideon Yu,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,0.8128679032346987,3.0,575,644,931,34,541
Marcus Ogawa,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.1144,0.8126302015852194,1.0,429,644,931,36,393
Lorenzo Thione,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.1144,0.8126302015852194,1.0,429,644,931,36,393
Gary Kremen,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.1144,0.8126302015852194,1.0,429,644,931,36,393
Lane Bess,0.0027272727272727275,0.0036363636363636364,0.0,0.011376406620174646,2.6528,0.8073980787023713,1.0,319,644,240,38,281
Shawn Hardin,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.9491,0.7931770075975904,1.0,429,644,931,40,389
Alex Welch,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.9491,0.7931770075975904,1.0,429,644,931,40,389
Jordan Greenhall,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.9491,0.7931770075975904,1.0,429,644,931,40,389
Jeff Weiner,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.8758,0.7727786000130802,4.0,575,644,931,42,533
Thomas D. Lehrman,0.0,0.0036363636363636364,0.0,6.450860072587633e-20,2.3032,0.7345989162567718,3.0,319,644,931,43,276
reinmkr capital,0.0036363636363636364,0.0027272727272727275,0.0,0.012001443053508495,1.7273999999999998,0.6893256007306051,1.0,429,644,231,44,385
Incubator at Rose Tech Ventures,0.0,0.004545454545454545,0.0,6.450860072587633e-20,3.407,0.6858829866448807,1.0,250,644,931,45,205
Lee Hower,0.0,0.006363636363636364,0.0,6.450860072587633e-20,2.7992999999999997,0.6503914061127174,2.0,144,644,931,46,98
Jason Finger,0.0,0.0036363636363636364,0.0,6.450860072587633e-20,2.3032,0.6459792109452331,8.0,319,644,931,47,272
VMware,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.9022,0.6288177921382988,3.0,575,644,931,48,527
John Thompson,0.0027272727272727275,0.00909090909090909,0.003075127382101412,0.011376406620174646,6.1364,0.6002125345255742,3.0,83,115,240,49,34
Maynard Webb,0.0,0.007272727272727273,0.0,6.450860072587633e-20,5.1552,0.5913231402411839,4.0,119,644,931,50,69
Howard A. Brown,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.8987,0.5672417229412766,1.0,710,644,931,51,659
Scott Marlette,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.3764,0.5558872815439024,1.0,575,644,931,52,523
Tom McInerney,0.005454545454545455,0.005454545454545455,0.0,0.11060629644547897,4.9182,0.5479029232720852,9.0,192,644,20,53,139
Proxima Ventures Ltd,0.0027272727272727275,0.0036363636363636364,0.0,0.007160171763328722,1.4104,0.5467530462305281,1.0,319,644,298,54,265
The Cross Country Group,0.0018181818181818182,0.0027272727272727275,0.0,0.004169244067095244,1.677,0.5379339978746414,1.0,429,644,353,55,374
Geolo Capital,0.0018181818181818182,0.0027272727272727275,0.0,0.004169244067095244,1.677,0.5379339978746414,1.0,429,644,353,55,374
Caterina Fake,0.0,0.004545454545454545,0.0,6.450860072587633e-20,4.205299999999999,0.5336403951132683,6.0,250,644,931,57,193
Marc Fleury,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.6448,0.529597343104079,1.0,575,644,931,58,517
Bob Bickel,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.6448,0.529597343104079,1.0,575,644,931,58,517
Osman Rashid,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.031,0.5235818653927172,1.0,429,644,931,60,369
Paul Longhenry,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3181000000000003,0.5154984685776115,1.0,429,644,931,62,367
Grauer Brothers Capital,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3181000000000003,0.5154984685776115,1.0,429,644,931,62,367
Grail Partners,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3181000000000003,0.5154984685776115,1.0,429,644,931,62,367
Anand Rajaraman,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.4084,0.511793639860724,4.0,575,644,931,64,511
Asus,0.0036363636363636364,0.008181818181818182,0.0,0.003519922057954011,6.2964,0.5078482685452008,1.0,99,644,373,65,34
Mike Olson,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.0747999999999998,0.5069631998018975,1.0,429,644,931,66,363
Bear Creek Capital,0.0036363636363636364,0.0036363636363636364,0.0,0.013769381027196787,3.2416,0.5062149384445249,1.0,319,644,218,67,252
Zelkova Ventures,0.015454545454545455,0.022727272727272728,0.016277225352218056,0.019816534742689778,17.9895,0.5002797275284124,14.0,10,30,156,68,58
K9 Ventures,0.0018181818181818182,0.007272727272727273,0.00040964288119234136,0.009552840312613197,5.4384,0.4969227511373632,5.0,119,168,261,69,50
John Pestana,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.4966197624371757,2.0,192,644,931,71,121
Mark Gorenberg,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.4966197624371757,2.0,192,644,931,71,121
Steven Singh,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.4966197624371757,2.0,192,644,931,71,121
Richard Brennan,0.0,0.006363636363636364,0.0,6.450860072587633e-20,4.1482,0.494429666629543,2.0,144,644,931,73,71
Nick Hynes,0.005454545454545455,0.005454545454545455,0.0,3.047718917351348e-10,3.5556,0.494429666629543,2.0,192,644,565,73,119
