investor,community_id
North Bridge Venture Partners,0
Hanwha Chemical Corporation,0
Polaris Partners,38
VENTIZZ Capital Partners,0
Sigma Partners,2
Advanced Technology Ventures,38
Greylock Partners,3
Atlas Venture,4
Matrix Partners,5
Palomar Ventures,0
Raven Venture Partners,0
Austin Ventures,0
Commonwealth Capital Ventures,0
Fidelity Ventures,0
EPIC Ventures,2
Venrock,10
AE Ventures,0
GE Energy Financial Services,0
Google Ventures,4
Shea Ventures,2
Egan-Managed Capital,0
Long River Ventures,0
Alloy Ventures,0
Rembrandt Venture Partners,3
Columbia Capital,17
Novak Biddle Venture Partners,10
RedShift Ventures,2
Draper Fisher Jurvetson (DFJ),2
New Atlantic Ventures,13
Braemar Energy Ventures,0
Osage University Partners,0
Terawatt Ventures,0
Windham Venture Partners,0
Highland Capital Partners,10
Maveron,34
Norwest Venture Partners,34
Flybridge Capital Partners,23
General Catalyst Partners,0
Sands Capital Ventures,0
Stage 1 Ventures,0
In-Q-Tel,2
FLOODGATE,34
Excel Venture Management,34
GSK Venture Fund,3
D.E. Shaw & Co.,18
InterWest Partners,0
Battery Ventures,18
Wakefield Group,0
Neomed Management,38
OrbiMed Advisors,38
SV Life Sciences,38
Stripes Group,19
Boston Millennia Partners,38
Covera Ventures,28
Eastman Ventures,38
InterSouth Partners,38
New York Times,13
Radar Partners,13
True Ventures,13
Cisco,13
Comcast Ventures,0
Intel,5
Intel Capital,17
Mayfield Fund,85
Alexandria Real Estate Equities,38
Bessemer Venture Partners,38
Lux Capital,10
Steve Blank,13
ARCH Venture Partners,38
Astellas Venture Management,38
Genzyme Ventures,38
OVP Venture Partners,38
DFJ Gotham Ventures,13
Lerer Ventures,13
Longworth Venture Partners,13
Thrive Capital,13
Ignition Partners,22
James Lindenbaum,22
Jesse Robbins,22
Tim Young,22
5AM Ventures,38
Novartis Bioventures,38
Novartis Venture Fund,38
First Ventures,38
Newbury Ventures,38
St. Paul Venture Capital,38
Lightspeed Venture Partners,5
Black River Asset Management,38
Cardinal Partners,38
TVM Capital,38
Three Arch Partners,38
Wellcome Trust,38
Flagship Ventures,0
Third Rock Ventures,38
Alta Partners,38
HealthCare Ventures,38
New Enterprise Associates,10
BlueRun Ventures,13
Founders Fund,13
Mark Kingdon,13
SV Angel,13
Element Partners,2
Nokia,2
Bay Partners,34
Leapfrog Ventures,0
Neal Dempsey,13
Mitsui & Co,23
Qualcomm Ventures,17
Sierra Ventures,10
American Express,23
Stanford University,2
Western Technology Investment,13
Magma Venture Partners,5
Vertex Venture Capital,18
Canaan Partners,10
Helion Venture Partners,2
Felicis Ventures,13
Ribbit Capital,23
Susquehanna Growth Equity,13
Harmony Partners,38
Trinity Ventures,5
Charles River Ventures,13
Chris Sacca,13
Gary Vaynerchuk,3
Jason Calacanis,3
Kevin Rose,13
Ron Conway,13
Shasta Ventures,3
Shervin Pishevar,13
DN Capital,18
Accel Partners,34
Eric Blachfor,34
Bain Capital Ventures,5
Allen & Company,3
Index Ventures,3
Jerry Murdock,3
Kleiner Perkins Caufield & Byers,3
Mark Pincus,3
Redpoint Ventures,34
Yuri Milner,3
DAG Ventures,3
Tenaya Capital,3
500 Startups,4
Foundry Group,4
Highway 12 Ventures,4
SoftTech VC,13
Techstars,4
Lars Hinrichs,40
TomorrowVentures,13
DFJ Growth,13
Scott Banister,13
Union Square Ventures,13
Emergence Capital Partners,23
Goldcrest Investments,13
Keith Rabois,3
Khosla Ventures,13
Madrona Venture Group,22
FirstMark Capital,13
IAC/InterActiveCorp,13
Andreessen Horowitz,13
Ashton Kutcher,3
CrunchFund,3
Digital Sky Technologies,13
Jeff Bezos,3
First Round Capital,13
Kodiak Venture Partners,19
Amicus Capital,2
Draper Richards,2
Selby Venture Partners,2
Greenoaks Capital Management,23
Menlo Ventures,13
Tiger Global Management,13
Valor Capital Group,23
Amir Orad,4
IA Ventures,13
Innovation Endeavors,5
Joe Lonsdale,4
Saul Klein,4
AOL Ventures,13
David Shen,13
Joshua Stylman,13
Mitch Kapor,13
O'Reilly AlphaTech Ventures,13
Peter Hershberg,13
RRE Ventures,13
betaworks,13
Baseline Ventures,13
David DesJardins,13
Jeremy Wenokur,13
Marc Andreessen,13
Michael Parekh,13
K9 Ventures,13
TPG Biotech,3
Omidyar Network,3
Bezos Expeditions,3
GGV Capital,3
Mercato Partners,3
Baroda Ventures,13
Comcast Interactive Capital,3
Dustin Moskovitz,3
Insight Venture Partners,3
Jack Dorsey,3
Peter Chernin,3
Pinnacle Ventures,3
Sequoia Capital,5
Harrison Metal Capital,13
August Capital,10
CMEA Capital,38
IAC,34
Rustic Canyon Partners,10
Scale Venture Partners,28
Square 1 Bank,10
Steamboat Ventures,28
Benchmark,3
Ed Roberts,13
Jacques & Sandra Kerrest,13
Tom Berson,13
Webb Investment Network,22
Amerindo Investment Advisors,3
Capital Group,18
Integral Capital Partners,38
The Aurora Funds,2
