source,target,company,weight,delta_years
North Bridge Venture Partners,Polaris Partners,1366 Technologies,0.572995,1.86
Polaris Partners,North Bridge Venture Partners,1366 Technologies,0.572995,1.86
North Bridge Venture Partners,Hanwha Chemical Corporation,1366 Technologies,0.463574,2.56
North Bridge Venture Partners,Polaris Partners,1366 Technologies,0.463574,2.56
North Bridge Venture Partners,VENTIZZ Capital Partners,1366 Technologies,0.463574,2.56
Polaris Partners,Hanwha Chemical Corporation,1366 Technologies,0.463574,2.56
Polaris Partners,North Bridge Venture Partners,1366 Technologies,0.463574,2.56
Polaris Partners,VENTIZZ Capital Partners,1366 Technologies,0.463574,2.56
North Bridge Venture Partners,Hanwha Chemical Corporation,1366 Technologies,0.809038,0.71
North Bridge Venture Partners,Polaris Partners,1366 Technologies,0.809038,0.71
North Bridge Venture Partners,VENTIZZ Capital Partners,1366 Technologies,0.809038,0.71
Polaris Partners,Hanwha Chemical Corporation,1366 Technologies,0.809038,0.71
Polaris Partners,North Bridge Venture Partners,1366 Technologies,0.809038,0.71
Polaris Partners,VENTIZZ Capital Partners,1366 Technologies,0.809038,0.71
BlueRun Ventures,Founders Fund,140 Proof,0.57867,1.82
BlueRun Ventures,Mark Kingdon,140 Proof,0.57867,1.82
BlueRun Ventures,SV Angel,140 Proof,0.57867,1.82
Founders Fund,BlueRun Ventures,140 Proof,0.57867,1.82
Founders Fund,Mark Kingdon,140 Proof,0.57867,1.82
Founders Fund,SV Angel,140 Proof,0.57867,1.82
Genentech,Google,23andMe,0.527379,2.13
Genentech,Sergey Brin,23andMe,0.527379,2.13
Google,Sergey Brin,23andMe,0.527379,2.13
Mohr Davidow Ventures,Google,23andMe,0.527379,2.13
Mohr Davidow Ventures,Sergey Brin,23andMe,0.527379,2.13
New Enterprise Associates,Google,23andMe,0.527379,2.13
New Enterprise Associates,Sergey Brin,23andMe,0.527379,2.13
Digital Media Partners,"GMO VenturePartners, Inc.",2C2P,0.548586,2.0
City Light Capital,Highland Capital Partners,2U,0.82854,0.63
City Light Capital,Novak Biddle Venture Partners,2U,0.82854,0.63
City Light Capital,Redpoint Ventures,2U,0.82854,0.63
Novak Biddle Venture Partners,City Light Capital,2U,0.82854,0.63
Novak Biddle Venture Partners,Highland Capital Partners,2U,0.82854,0.63
Novak Biddle Venture Partners,Redpoint Ventures,2U,0.82854,0.63
Redpoint Ventures,City Light Capital,2U,0.82854,0.63
Redpoint Ventures,Highland Capital Partners,2U,0.82854,0.63
Redpoint Ventures,Novak Biddle Venture Partners,2U,0.82854,0.63
Kleiner Perkins Caufield & Byers,New Enterprise Associates,3-V Biosciences,0.47397,2.49
New Enterprise Associates,Kleiner Perkins Caufield & Byers,3-V Biosciences,0.47397,2.49
The Column Group,Kleiner Perkins Caufield & Byers,3-V Biosciences,0.47397,2.49
The Column Group,New Enterprise Associates,3-V Biosciences,0.47397,2.49
QED Investors,First Round Capital,33Across,0.809038,0.71
QED Investors,Flybridge Capital Partners,33Across,0.809038,0.71
Chris Michel,Foundry Group,3D Robotics,0.774574,0.85
Chris Michel,Mayfield Fund,3D Robotics,0.774574,0.85
Chris Michel,O'Reilly AlphaTech Ventures,3D Robotics,0.774574,0.85
Chris Michel,SK Ventures,3D Robotics,0.774574,0.85
Chris Michel,True Ventures,3D Robotics,0.774574,0.85
O'Reilly AlphaTech Ventures,Foundry Group,3D Robotics,0.774574,0.85
O'Reilly AlphaTech Ventures,Mayfield Fund,3D Robotics,0.774574,0.85
O'Reilly AlphaTech Ventures,SK Ventures,3D Robotics,0.774574,0.85
O'Reilly AlphaTech Ventures,True Ventures,3D Robotics,0.774574,0.85
True Ventures,Foundry Group,3D Robotics,0.774574,0.85
True Ventures,Mayfield Fund,3D Robotics,0.774574,0.85
True Ventures,O'Reilly AlphaTech Ventures,3D Robotics,0.774574,0.85
True Ventures,SK Ventures,3D Robotics,0.774574,0.85
Nestors Financial,NewSpring Capital,3Pillar Global,0.54994,1.99
In-Q-Tel,VantagePoint Capital Partners,3VR,0.407154,3.0
Kleiner Perkins Caufield & Byers,VantagePoint Capital Partners,3VR,0.407154,3.0
In-Q-Tel,Menlo Ventures,3VR,0.228181,4.93
Kleiner Perkins Caufield & Byers,Menlo Ventures,3VR,0.228181,4.93
VantagePoint Capital Partners,Menlo Ventures,3VR,0.228181,4.93
VantagePoint Capital Partners,Menlo Ventures,3VR,0.560427,1.93
Alex Bresler,Bessemer Venture Partners,42Floors,0.939485,0.21
Alex Bresler,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Alex Bresler,New Enterprise Associates,42Floors,0.939485,0.21
Alex Bresler,Thrive Capital,42Floors,0.939485,0.21
Alexis Ohanian,Bessemer Venture Partners,42Floors,0.939485,0.21
Alexis Ohanian,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Alexis Ohanian,New Enterprise Associates,42Floors,0.939485,0.21
Alexis Ohanian,Thrive Capital,42Floors,0.939485,0.21
Bessemer Venture Partners,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Bessemer Venture Partners,New Enterprise Associates,42Floors,0.939485,0.21
Bessemer Venture Partners,Thrive Capital,42Floors,0.939485,0.21
Chris Dixon,Bessemer Venture Partners,42Floors,0.939485,0.21
Chris Dixon,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Chris Dixon,New Enterprise Associates,42Floors,0.939485,0.21
Chris Dixon,Thrive Capital,42Floors,0.939485,0.21
Dave McClure,Bessemer Venture Partners,42Floors,0.939485,0.21
Dave McClure,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Dave McClure,New Enterprise Associates,42Floors,0.939485,0.21
Dave McClure,Thrive Capital,42Floors,0.939485,0.21
Red Swan,Bessemer Venture Partners,42Floors,0.939485,0.21
Red Swan,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Red Swan,New Enterprise Associates,42Floors,0.939485,0.21
Red Swan,Thrive Capital,42Floors,0.939485,0.21
Thrive Capital,Bessemer Venture Partners,42Floors,0.939485,0.21
Thrive Capital,Columbus Nova Technology Partners,42Floors,0.939485,0.21
Thrive Capital,New Enterprise Associates,42Floors,0.939485,0.21
Crosslink Capital,Fung Capital USA,500Friends,0.742189,0.99
Crosslink Capital,Intel Capital,500Friends,0.742189,0.99
Intel Capital,Crosslink Capital,500Friends,0.742189,0.99
Intel Capital,Fung Capital USA,500Friends,0.742189,0.99
Justin Yoshimura,Crosslink Capital,500Friends,0.742189,0.99
Justin Yoshimura,Fung Capital USA,500Friends,0.742189,0.99
Justin Yoshimura,Intel Capital,500Friends,0.742189,0.99
Matt Gilbert,Crosslink Capital,500Friends,0.742189,0.99
Matt Gilbert,Fung Capital USA,500Friends,0.742189,0.99
Matt Gilbert,Intel Capital,500Friends,0.742189,0.99
SIG,Intel Capital,51.com,0.745855,0.98
SIG,Redpoint Ventures,51.com,0.745855,0.98
SIG,Sequoia Capital,51.com,0.745855,0.98
Sequoia Capital,Intel Capital,51.com,0.745855,0.98
Sequoia Capital,Redpoint Ventures,51.com,0.745855,0.98
Sequoia Capital,SIG,51.com,0.745855,0.98
SIG,Adobe Systems,56.com,0.860443,0.5
SIG,CID Group,56.com,0.860443,0.5
SIG,Hikari Tsushin Group,56.com,0.860443,0.5
SIG,Sequoia Capital,56.com,0.860443,0.5
SIG,Steamboat Ventures,56.com,0.860443,0.5
Steamboat Ventures,Adobe Systems,56.com,0.860443,0.5
Steamboat Ventures,CID Group,56.com,0.860443,0.5
Steamboat Ventures,Hikari Tsushin Group,56.com,0.860443,0.5
Steamboat Ventures,Sequoia Capital,56.com,0.860443,0.5
SAIF Partners,DCM,58.com,0.565979,1.9
Spark Capital,Globespan Capital Partners,5min Media,0.596036,1.72
Atomico,Earlybird Venture Capital,6Wunderkinder,0.550392,1.99
Atomico,Sequoia Capital,6Wunderkinder,0.550392,1.99
InterSouth Partners,Grotech Ventures,6fusion,0.741579,1.0
InterSouth Partners,Core Capital Partners,6th Sense Analytics,0.693278,1.22
