investor,tps,portfolio_size,n_top_tier_connections,sms_score
City Light Capital,1.0,3,3,0.25
NewSpring Capital,1.0,1,1,0.75
Alex Bresler,1.0,4,4,0.0
Adobe Systems,1.0,2,2,0.5
SAIF Partners,1.0,2,2,0.5
Ivy Capital,1.0,2,2,0.5
Eurecan,1.0,3,3,0.25
Gilde Healthcare Partners,1.0,2,2,0.5
Fidelity Biosciences,1.0,3,3,0.25
Lundbeckfond Ventures,1.0,2,2,0.5
HOWZAT media,1.0,3,3,0.25
Mark Shuttleworth,1.0,3,3,0.25
Rupert Pennant-Rea,1.0,3,3,0.25
Triangle Peak Partners,1.0,4,4,0.0
Madrone Capital Partners,1.0,1,1,0.75
Ysios Capital,1.0,1,1,0.75
Tandem Expansion,1.0,1,1,0.75
Michael Dearing,1.0,4,4,0.0
Rediff,1.0,2,2,0.5
Michael Katz,1.0,3,3,0.25
Ted Leonsis,1.0,3,3,0.25
Bank of America,1.0,2,2,0.5
Bioam Gestion,1.0,2,2,0.5
Viveris Management,1.0,1,1,0.75
Mousse Partners,1.0,2,2,0.5
Redhills Ventures,1.0,2,2,0.5
First Round,1.0,3,3,0.25
IAC,1.0,3,3,0.25
Greylock Partners Israel,1.0,2,2,0.5
Apple Tree Partners,1.0,1,1,0.75
Digital Sky Technologies,1.0,3,3,0.25
Kearny Venture Partners,1.0,3,3,0.25
BlueStream Ventures,1.0,2,2,0.5
ECentury Capital Partners,1.0,2,2,0.5
Oklahoma Life Science Fund,1.0,3,3,0.25
TPP Capital Advisors,1.0,3,3,0.25
Sumitomo Corporation Equity Asia,1.0,4,4,0.0
Astrolabe Ventures,1.0,1,1,0.75
Frog & Peach Investments,1.0,1,1,0.75
D.E. Shaw & Co.,1.0,1,1,0.75
Juniper Networks,1.0,3,3,0.25
ARC Angel Fund,1.0,3,3,0.25
Fuse Capital,1.0,1,1,0.75
Advent International,1.0,4,4,0.0
Crabtree Ventures,1.0,1,1,0.75
Hummingbird Ventures,1.0,1,1,0.75
Peggy Taylor,1.0,2,2,0.5
Slater Technology Fund,1.0,3,3,0.25
Stingray Digital,1.0,2,2,0.5
Aden Investments,1.0,4,4,0.0
VenGrowth Capital Partners,1.0,2,2,0.5
Investment Group of Santa Barbara,1.0,1,1,0.75
North Atlantic Capital,1.0,4,4,0.0
Howard A. Brown,1.0,1,1,0.75
Gold Hill Capital,1.0,3,3,0.25
Synergy Life Science Partner,1.0,2,2,0.5
Cultivian Ventures,1.0,3,3,0.25
Jeff Stewart,1.0,1,1,0.75
Alexander Lloyd,1.0,4,4,0.0
C. Richard Kramlich,1.0,4,4,0.0
Pamela P. Kramlich,1.0,4,4,0.0
Robert Pittman,1.0,4,4,0.0
Tim Mott,1.0,4,4,0.0
Pacific Venture Capital,1.0,1,1,0.75
Growth Capital Fund,1.0,2,2,0.5
Escalate Capital Partners,1.0,3,3,0.25
EspÃ­Â­rito Santo Ventures,1.0,1,1,0.75
GF Private Equity,1.0,1,1,0.75
Kepha Partners,1.0,2,2,0.5
CNET Networks,1.0,4,4,0.0
Victory Park Capital,1.0,2,2,0.5
Payman Pouladdej,1.0,2,2,0.5
Thomas Lehrman,1.0,4,4,0.0
Vision Ventures,1.0,2,2,0.5
Peninsula Ventures,1.0,2,2,0.5
Ohio Biotech Group,1.0,2,2,0.5
