investor,tps,portfolio_size,n_top_tier_connections
North Bridge Venture Partners,0.694915,59,41
Polaris Partners,0.829268,82,68
BlueRun Ventures,0.793103,29,23
Founders Fund,0.74026,77,57
SV Angel,0.904977,221,200
Genentech,0.5,2,1
Google,0.625,16,10
Mohr Davidow Ventures,0.651515,66,43
New Enterprise Associates,0.715328,137,98
Digital Media Partners,0.0,1,0
City Light Capital,1.0,3,3
Highland Capital Partners,0.716049,81,58
Novak Biddle Venture Partners,0.588235,34,20
Redpoint Ventures,0.823529,68,56
Kleiner Perkins Caufield & Byers,0.701493,201,141
The Column Group,0.692308,13,9
QED Investors,0.866667,15,13
First Round Capital,0.867021,188,163
Flybridge Capital Partners,0.769231,39,30
Chris Michel,1.0,9,9
Foundry Group,0.860465,43,37
Mayfield Fund,0.875,80,70
O'Reilly AlphaTech Ventures,0.849057,53,45
SK Ventures,1.0,8,8
True Ventures,0.75,108,81
Nestors Financial,0.0,1,0
NewSpring Capital,1.0,1,1
In-Q-Tel,0.73913,46,34
VantagePoint Capital Partners,0.705882,34,24
Menlo Ventures,0.796875,64,51
Alex Bresler,1.0,4,4
Bessemer Venture Partners,0.825243,103,85
Thrive Capital,1.0,38,38
Alexis Ohanian,0.826087,23,19
Chris Dixon,0.958333,24,23
Dave McClure,0.909091,33,30
Red Swan,0.777778,18,14
Crosslink Capital,0.8,25,20
Intel Capital,0.774194,93,72
Justin Yoshimura,0.833333,6,5
Matt Gilbert,0.666667,3,2
SIG,0.714286,7,5
Sequoia Capital,0.636364,143,91
Adobe Systems,1.0,2,2
CID Group,0.8,5,4
Steamboat Ventures,0.714286,21,15
SAIF Partners,1.0,2,2
DCM,0.6875,48,33
Spark Capital,0.811321,53,43
Globespan Capital Partners,0.714286,28,20
Atomico,0.857143,49,42
Earlybird Venture Capital,0.555556,9,5
InterSouth Partners,0.567568,37,21
Grotech Ventures,0.533333,15,8
Core Capital Partners,0.8,5,4
Balderton Capital,0.518519,27,14
JumpStart,0.133333,15,2
North Coast Angel Fund,0.3,10,3
Ohio TechAngels Fund,0.666667,3,2
Full Global Investments,0.0,1,0
Velolicity Capital BV,0.0,1,0
Ivy Capital,1.0,2,2
Salesforce,1.0,11,11
Sierra Ventures,0.782609,23,18
Split Rock Partners,1.0,6,6
Trident Capital,0.666667,39,26
ARCH Venture Partners,0.707317,41,29
H&Q Asia Pacific,0.666667,3,2
Enspire Capital,0.5,4,2
Harbinger Ventures,0.6875,16,11
Triton Ventures,0.666667,3,2
Mitsui & Co,0.5,4,2
Austin Ventures,0.625,64,40
Kettle Partners,0.375,8,3
Ticketmaster,0.375,8,3
William Blair New World Ventures,0.375,8,3
ABS Ventures,0.6,5,3
Canaan Partners,0.701299,77,54
Charles River Ventures,0.764045,89,68
DAG Ventures,0.621622,37,23
Atlante Ventures,0.0,1,0
FirstMark Capital,0.794872,39,31
Birchmere Ventures,0.2,5,1
Eagle Ventures,0.2,5,1
Delta Partners,0.444444,9,4
Enterprise Ireland,0.555556,18,10
Pentech Ventures,0.4,15,6
Scottish Equity Partners,0.45,20,9
Energy Ventures,0.5,2,1
Fujitsu,0.333333,3,1
Harel Hertz Investment House,0.5,2,1
Vertex Venture Capital,0.55,20,11
Naxicap Partners,0.5,4,2
A Plus Finance,0.428571,7,3
Ventech,0.478261,23,11
XAnge Private Equity,0.583333,12,7
Plug & Play Ventures,0.9375,16,15
Walden Venture Capital,0.833333,12,10
Accel Partners,0.742138,159,118
Carmel Ventures,0.888889,27,24
Index Ventures,0.741071,112,83
Beringea Private Equity,0.6,5,3
OurCrowd,0.75,4,3
Caja Navarra,0.75,4,3
Eurecan,1.0,3,3
Nauta Capital,0.545455,11,6
CorporacciÃÂ³nCan - Grupo Corporativo Empresarial Caja Navara,0.75,4,3
Oxford Capital Partners,0.214286,14,3
Gilde Healthcare Partners,1.0,2,2
Fidelity Biosciences,1.0,3,3
Novo A/S,0.714286,21,15
Lundbeckfond Ventures,1.0,2,2
HOWZAT media,1.0,3,3
Khosla Ventures,0.677419,93,63
Mark Shuttleworth,1.0,3,3
Rupert Pennant-Rea,1.0,3,3
Spark Ventures,0.571429,14,8
Thomas D. Lehrman,0.916667,24,22
Fonds de solidaritÃ© FTQ,0.454545,11,5
Rho Capital Partners,0.714286,35,25
Skypoint Capital,0.444444,9,4
Miramar Venture Partners,0.8,5,4
ATA Ventures,0.689655,29,20
US Venture Partners,0.811321,53,43
Advanced Technology Ventures,0.6875,32,22
Flagship Ventures,0.806452,31,25
OrbiMed Advisors,0.666667,12,8
Venrock,0.788235,85,67
Sutter Hill Ventures,0.8,35,28
Centennial Ventures,0.615385,13,8
Monitor Clipper Funds,0.0,1,0
Murphree Venture Partners,0.333333,3,1
Accel-KKR,0.0,2,0
POSCO BioVentures,0.5,2,1
Arnerich Massena & Associates,1.0,5,5
Essex Woodlands Health Ventures,0.9,10,9
KB Partners,0.0,1,0
Telegraph Hill Partners,0.2,5,1
BBT Fund,1.0,5,5
Jack Lief,1.0,5,5
Kaiser Permanente Ventures,1.0,5,5
Kazuaki Yonemoto,1.0,5,5
RiverVest,0.833333,6,5
6th AP Fund,0.333333,3,1
Hummer Winblad Venture Partners,0.961538,52,50
Leapfrog Ventures,0.958333,24,23
Palomar Ventures,0.857143,14,12
WPP,1.0,9,9
Kraft Group,0.25,4,1
InterWest Partners,0.789474,38,30
Triangle Peak Partners,1.0,4,4
Madrone Capital Partners,1.0,1,1
RockPort Capital Partners,0.5,14,7
Relay Ventures,0.809524,21,17
GrandBanks Capital,0.708333,24,17
Laurence Capital,0.666667,3,2
Battery Ventures,0.8,75,60
Argonaut Partners,0.5,4,2
Easton Capital,0.695652,23,16
Entrepia Ventures,0.777778,9,7
New Science Ventures,0.7,10,7
Israel Cleantech Ventures,0.25,8,2
Ysios Capital,1.0,1,1
Sigma Partners,0.74026,77,57
Tandem Expansion,1.0,1,1
Evergreen Venture Partners,0.416667,24,10
Ofer Hi-Tech,0.333333,3,1
Greylock Partners,0.840426,94,79
Mitsui Ventures,0.764706,17,13
Sanderling Ventures,0.818182,11,9
Innovacom,0.47619,21,10
OTC Asset Management,0.25,8,2
Quest for Growth,0.5,4,2
Atlas Venture,0.705128,78,55
BLH Venture Partners,0.5,8,4
Gravity Ventures,0.666667,6,4
Noro-Moseley Partners,0.72,25,18
Eden Ventures,0.5,28,14
Imperial Innovations,0.857143,7,6
Oxford Technology Management,0.666667,3,2
Advent Venture Partners,0.6,15,9
ComVentures,0.923077,13,12
SoftBank Capital,0.703704,54,38
Storm Ventures,0.765957,47,36
Jack Xu,0.8,5,4
GSR Ventures Management,0.636364,11,7
News Corp,0.833333,6,5
Richmond Global,0.75,8,6
Signia Venture Partners,0.777778,27,21
Plough Penny Partners,0.25,8,2
David Cowan,1.0,8,8
Oak Investment Partners,0.592593,27,16
Dixon Doll,1.0,5,5
Jon Callaghan,0.625,8,5
Lerer Ventures,0.9375,64,60
New York Times,1.0,7,7
Scott Kurnit,1.0,9,9
Stan Shuman,1.0,10,10
betaworks,0.867647,68,59
Michael Dearing,1.0,4,4
Rediff,1.0,2,2
Madrona Venture Group,0.688889,45,31
Bain Capital Ventures,0.689655,29,20
Foundation Capital,0.868421,38,33
Merus Capital,1.0,6,6
Bill Trenchard,1.0,5,5
FLOODGATE,0.833333,84,70
James Joaquin,1.0,6,6
Jonah Goodhart,0.5,14,7
Max Levchin,1.0,24,24
Peter Thiel,0.9375,32,30
Pilot Group,1.0,14,14
Ignition Partners,0.744186,43,32
Draper Fisher Jurvetson (DFJ),0.746835,158,118
Gemini Israel ventures,0.75,32,24
Union Square Ventures,0.904762,63,57
RRE Ventures,0.85,80,68
Time Warner,0.0,1,0
Doughty Hanson Technology Ventures,0.555556,9,5
Social Starts,1.0,7,7
Time Warner Investments,0.666667,3,2
