funding_round_id,object_id,funded_at,funding_round_type,raised_amount_usd
edgar_r_900000000,edgar_c_4ab4b9b59c5e,2020-07-24,series-a,
edgar_r_900000001,edgar_c_5714d95fddad,2018-11-20,series-a,
edgar_r_900000002,edgar_c_710276817698,2016-06-21,series-a,
edgar_r_900000003,edgar_c_32bf5042bbb7,2025-03-25,series-a,
edgar_r_900000004,edgar_c_32bf5042bbb7,2021-02-23,series-a,
edgar_r_900000005,edgar_c_f1c69ae89c95,2020-07-02,series-a,
edgar_r_900000006,edgar_c_f1c69ae89c95,2016-11-23,series-a,
edgar_r_900000007,edgar_c_f1c69ae89c95,2015-12-23,series-a,
edgar_r_900000008,edgar_c_f1c69ae89c95,2015-12-09,series-a,
edgar_r_900000009,edgar_c_f1c69ae89c95,2015-10-21,series-a,
edgar_r_900000010,edgar_c_f1c69ae89c95,2015-07-23,series-a,
edgar_r_900000011,edgar_c_f1c69ae89c95,2014-12-11,series-a,
edgar_r_900000012,edgar_c_f1c69ae89c95,2014-11-03,series-a,
edgar_r_900000013,edgar_c_f1c69ae89c95,2014-09-12,series-a,
edgar_r_900000014,edgar_c_f1c69ae89c95,2014-02-14,series-a,
edgar_r_900000015,edgar_c_f1c69ae89c95,2013-12-24,series-a,
edgar_r_900000016,edgar_c_f1c69ae89c95,2013-12-10,series-a,
edgar_r_900000017,edgar_c_f1c69ae89c95,2013-12-05,series-a,
edgar_r_900000018,edgar_c_f1c69ae89c95,2013-09-27,series-a,
edgar_r_900000019,edgar_c_f1c69ae89c95,2013-06-28,series-a,
edgar_r_900000020,edgar_c_f1c69ae89c95,2012-05-16,series-a,
edgar_r_900000021,edgar_c_f1c69ae89c95,2011-09-07,series-a,
edgar_r_900000022,edgar_c_f1c69ae89c95,2011-05-05,series-a,
edgar_r_900000023,edgar_c_f1c69ae89c95,2010-07-07,series-a,
edgar_r_900000024,edgar_c_f1c69ae89c95,2009-12-23,series-a,
edgar_r_900000025,edgar_c_f1c69ae89c95,2009-11-30,series-a,
edgar_r_900000026,edgar_c_f1c69ae89c95,2009-04-14,series-a,
edgar_r_900000027,edgar_c_a63ce998f4a7,2026-01-14,series-a,
edgar_r_900000028,edgar_c_a63ce998f4a7,2025-01-15,series-a,
