eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36,sms_score,n_expected,n_silent
2006-01-31,FDN,0.0109807234605928,0.042948157956000696,0.056155828755373005,0.015611607761155197,0.01806284060398363,0.499999999875,4,2
2006-03-31,FDN,0.013917440439576899,0.0485870100640796,0.04108595456120061,0.0047224272413518,0.018191263225364934,0.49999999991666666,6,3
2006-04-30,FDN,0.021168748190867198,0.050235920999174,0.035264755883877605,0.006444524725677901,0.020464328160963628,0.49999999991666666,6,3
2006-05-31,FDN,0.022551540172180598,0.0465370705503795,0.022938781420349802,0.0032828462757888994,0.018012953332423434,0.499999999875,4,2
2006-06-30,FDN,0.0272782947922368,0.04579125700379489,0.013734416859541599,0.0007950874685233996,0.018060826133777436,0.2857142856734694,7,2
2006-07-31,FDN,0.0319674344954079,0.04517510529478019,0.004630884300562398,-0.0003602753042722981,0.014584244731902932,0.0,3,0
2006-09-30,FDN,0.0346695696245027,0.0271685141216237,-0.0091950131982251,-0.006195746773606967,0.021343763644196132,0.22222222219753085,9,2
2006-10-31,FDN,0.029067172808306795,0.014096007693010401,-0.014724223465189302,-0.012162814003843368,0.025146306992542732,0.0,3,0
2006-11-30,FDN,0.0239855303781989,0.0003872412481691987,-0.0192686938963917,-0.016961044396447866,0.029787095384240434,0.33333333327777775,6,2
2006-12-31,FDN,0.0185129622115581,-0.013543877932695202,-0.0264832073237134,-0.022859500257286065,0.03376783609147733,0.2499999999375,4,1
2007-01-31,FDN,0.0132076707993723,-0.0273365501948455,-0.03232770979968019,-0.024885317352017065,0.03923916827495173,0.36363636360330576,11,4
2007-02-28,FDN,0.0037778601751661004,-0.037553311779975604,-0.035920228405525195,-0.028626453191140367,0.04259923480130093,0.374999999953125,8,3
2007-03-31,FDN,-0.007501055502879,-0.0438645828227278,-0.040865316398109676,-0.030395746838714665,0.045069134820957334,0.11111111109876542,9,1
2007-04-30,FDN,-0.0149711651152964,-0.0437913962734961,-0.04122998681215017,-0.02977159283821037,0.05255550583567724,0.2499999999375,4,1
2007-05-31,FDN,-0.0235982891300297,-0.0432542242745906,-0.04094657477464678,-0.028524117217956065,0.059539541831969335,0.124999999984375,8,1
2007-06-30,FDN,-0.0320568401442533,-0.044996169535271496,-0.04137246246884417,-0.027730430870017468,0.06709107411253504,0.0,3,0
2007-07-31,FDN,-0.0405442209942178,-0.045535380599052495,-0.03809298815138938,-0.03059086056287727,0.07334854510056753,0.571428571387755,14,8
2007-08-31,FDN,-0.0413311719551417,-0.03969808858069129,-0.03240431336630647,-0.023097698861486868,0.08411162467367153,0.33333333330555553,12,4
2007-09-30,FDN,-0.03636352731984881,-0.03336426089523067,-0.022894691335835674,-0.00582475047742757,0.10308046461474836,0.11111111109876542,9,1
2007-10-31,FDN,-0.0288202311581997,-0.026258821696853764,-0.014800427722913968,0.011050299299532333,0.12358940555511955,0.4444444443950617,9,4
2007-11-30,FDN,-0.0196559351445609,-0.017348285644617066,-0.004925828087926371,0.029399854136071227,0.14978042971298944,0.22222222219753085,9,2
2007-12-31,FDN,-0.0129393293910182,-0.009315622324590869,0.0043264092742358335,0.04731171402417253,0.17648207902617175,0.24999999996875,8,2
2008-01-31,FDN,-0.004991159604834697,0.0024512328428284327,0.009953360431340536,0.06657571846979723,0.20178465024962494,0.2727272727024793,11,3
2008-02-29,FDN,0.001633083374450403,0.008926858588835233,0.018233473093654834,0.08015254658127653,0.22256488949571962,0.24999999997916666,12,3
2008-03-31,FDN,0.002999266424618133,0.013468835984013133,0.030538776842421234,0.08893371764368513,0.2313729735001627,0.0,4,0
2008-05-31,FDN,0.0023076494999438335,0.014730107056634533,0.049055789280632145,0.10279376610655994,0.24509185903987762,0.33333333327777775,6,2
2008-07-31,FDN,0.00744239244766313,0.01494452003617523,0.07156687807463193,0.11888392569962003,0.258181489169708,0.124999999984375,8,1
2008-08-31,FDN,0.007293775214384831,0.016600389719204432,0.07851946320682612,0.12380971325436282,0.2602653773833036,0.0,4,0
2008-10-31,FDN,0.0114583939739398,0.0373091209963861,0.09378549264782739,0.1498482272519733,0.26247463661865356,0.124999999984375,8,1
2008-11-30,FDN,0.0124224575566907,0.0467481397806883,0.10048611660661609,0.1671287153576065,0.2620352046306429,0.0,4,0
2008-12-31,FDN,0.013642031598826699,0.05662733634876341,0.1084635365813792,0.1857977013507626,0.26220847012660536,0.39999999992,5,2
2009-01-31,FDN,0.007502127588512099,0.0641244856269688,0.11144153325195691,0.1993334174067965,0.2589877518289462,0.07692307691715976,13,1
2009-03-31,FDN,0.0170699408584081,0.075464881659672,0.125975155950584,0.21790413751614962,0.2530925881065538,0.45454545450413225,11,5
2009-04-30,FDN,0.0258507270224463,0.08232709867388759,0.1383898332780335,0.2248970265557576,0.25094141942799336,0.16666666663888888,6,1
2009-05-31,FDN,0.034325682223997594,0.08806365904992539,0.1547062578009158,0.2303617519832431,0.2482016052675045,0.33333333327777775,6,2
2009-07-31,FDN,0.056622358038456694,0.10393940566344478,0.1918312898182844,0.24323696913353282,0.24408395362712998,0.0,8,0
2009-08-31,FDN,0.061919073487621705,0.10720932353515841,0.20433141640206479,0.24366498766409922,0.2388598943262109,0.19999999996,5,1
2009-09-30,FDN,0.0583949408012639,0.10890521509217592,0.2008341966577415,0.23466103891001933,0.22199016790820852,0.19999999996,5,1
