sector,eval_date,n_expected,n_silent,sms_score
FDN,2006-01-31,4,2,0.499999999875
FDN,2006-03-31,6,3,0.49999999991666666
FDN,2006-04-30,6,3,0.49999999991666666
FDN,2006-05-31,4,2,0.499999999875
FDN,2006-06-30,7,2,0.2857142856734694
FDN,2006-07-31,3,0,0.0
FDN,2006-09-30,9,2,0.22222222219753085
FDN,2006-10-31,3,0,0.0
FDN,2006-11-30,6,2,0.33333333327777775
FDN,2006-12-31,4,1,0.2499999999375
FDN,2007-01-31,11,4,0.36363636360330576
FDN,2007-02-28,8,3,0.374999999953125
FDN,2007-03-31,9,1,0.11111111109876542
FDN,2007-04-30,4,1,0.2499999999375
FDN,2007-05-31,8,1,0.124999999984375
FDN,2007-06-30,3,0,0.0
FDN,2007-07-31,14,8,0.571428571387755
FDN,2007-08-31,12,4,0.33333333330555553
FDN,2007-09-30,9,1,0.11111111109876542
FDN,2007-10-31,9,4,0.4444444443950617
FDN,2007-11-30,9,2,0.22222222219753085
FDN,2007-12-31,8,2,0.24999999996875
FDN,2008-01-31,11,3,0.2727272727024793
FDN,2008-02-29,12,3,0.24999999997916666
FDN,2008-03-31,4,0,0.0
FDN,2008-05-31,6,2,0.33333333327777775
FDN,2008-07-31,8,1,0.124999999984375
FDN,2008-08-31,4,0,0.0
FDN,2008-10-31,8,1,0.124999999984375
FDN,2008-11-30,4,0,0.0
FDN,2008-12-31,5,2,0.39999999992
FDN,2009-01-31,13,1,0.07692307691715976
FDN,2009-03-31,11,5,0.45454545450413225
FDN,2009-04-30,6,1,0.16666666663888888
FDN,2009-05-31,6,2,0.33333333327777775
FDN,2009-07-31,8,0,0.0
FDN,2009-08-31,5,1,0.19999999996
FDN,2009-09-30,5,1,0.19999999996
FDN,2009-10-31,5,1,0.19999999996
FDN,2009-11-30,8,4,0.4999999999375
FDN,2009-12-31,7,1,0.1428571428367347
FDN,2010-01-31,11,3,0.2727272727024793
FDN,2010-02-28,5,3,0.59999999988
FDN,2010-03-31,9,7,0.777777777691358
FDN,2010-04-30,10,3,0.29999999997
FDN,2010-05-31,3,1,0.3333333332222222
FDN,2010-06-30,9,5,0.5555555554938272
FDN,2010-08-31,8,2,0.24999999996875
FDN,2010-09-30,21,2,0.0952380952335601
FDN,2010-11-30,10,7,0.69999999993
FDN,2010-12-31,13,5,0.3846153845857988
FDN,2011-01-31,5,1,0.19999999996
FDN,2011-02-28,7,3,0.4285714285102041
FDN,2011-03-31,9,2,0.22222222219753085
FDN,2011-04-30,13,5,0.3846153845857988
FDN,2011-05-31,25,9,0.3599999999856
FDN,2011-07-31,11,4,0.36363636360330576
