source_id,source_name,matched_id,match_type,score,source,matched_name
edgar_c_4ab4b9b59c5e,MICROSOFT CORP,r:23825,exact,1.0,edgar,
edgar_c_5714d95fddad,"Tesla, Inc.",r:5712,exact,1.0,edgar,
edgar_c_710276817698,VISA INC.,c:17066,exact,1.0,edgar,
edgar_c_32bf5042bbb7,INTEL CORP,c:71,exact,1.0,edgar,
edgar_c_f1c69ae89c95,Palantir Technologies Inc.,c:31006,exact,1.0,edgar,
edgar_c_a63ce998f4a7,"HOME DEPOT, INC.",c:224067,exact,1.0,edgar,
edgar_c_87a5206e4851,TOYOTA MOTOR CORP/,c:248996,fuzzy_high,0.9263,edgar,toyota motor credit
edgar_c_0788fc7c2f41,SHOPIFY INC.,c:38811,exact,1.0,edgar,
edgar_c_b1338288226e,AppLovin Corp,c:198185,exact,1.0,edgar,
edgar_c_332d28c62b31,"Uber Technologies, Inc",edgar_c_332d28c62b31,new,0.8769607843137255,edgar,
edgar_c_c54524af27e2,"Marvell Technology, Inc.",c:243003,exact,1.0,edgar,
edgar_c_f4944d9881ef,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",edgar_c_f4944d9881ef,new,0.8516129032258064,edgar,
edgar_c_0a01c966d271,ADVANTEST CORP,c:20007,exact,1.0,edgar,
edgar_c_c54d2193bd1c,Booking Holdings Inc.,edgar_c_c54d2193bd1c,new,0.9050641025641025,edgar,
edgar_c_57216f7c97ad,ENBRIDGE INC,c:143222,exact,1.0,edgar,
edgar_c_bb6696e606aa,EQUINIX INC,c:8931,exact,1.0,edgar,
edgar_c_245e3620b331,SYNOPSYS INC,c:42408,exact,1.0,edgar,
edgar_c_524a5acb3b86,"ServiceNow, Inc.",r:22216,exact,1.0,edgar,
edgar_c_4142d3a888aa,Spotify Technology S.A.,edgar_c_4142d3a888aa,new,0.892436974789916,edgar,
edgar_c_93c14748e8f1,AGNICO EAGLE MINES LTD,edgar_c_93c14748e8f1,new,0.844957264957265,edgar,
edgar_c_153698fcb7d4,BAE SYSTEMS PLC /FI/,c:36651,fuzzy_high,0.9571,edgar,bae systems
