funding_round_id,object_id,funded_at,funding_round_type,raised_amount_usd,source
edgar_r_900000000,r:23825,2020-07-24,series-a,,edgar
edgar_r_900000001,r:5712,2018-11-20,series-a,,edgar
edgar_r_900000002,c:17066,2016-06-21,series-a,,edgar
edgar_r_900000003,c:71,2025-03-25,series-a,,edgar
edgar_r_900000004,c:71,2021-02-23,series-a,,edgar
edgar_r_900000005,c:31006,2020-07-02,series-a,,edgar
edgar_r_900000006,c:31006,2016-11-23,series-a,,edgar
edgar_r_900000007,c:31006,2015-12-23,series-a,,edgar
edgar_r_900000008,c:31006,2015-12-09,series-a,,edgar
edgar_r_900000009,c:31006,2015-10-21,series-a,,edgar
edgar_r_900000010,c:31006,2015-07-23,series-a,,edgar
edgar_r_900000011,c:31006,2014-12-11,series-a,,edgar
edgar_r_900000012,c:31006,2014-11-03,series-a,,edgar
edgar_r_900000013,c:31006,2014-09-12,series-a,,edgar
edgar_r_900000014,c:31006,2014-02-14,series-a,,edgar
edgar_r_900000015,c:31006,2013-12-24,series-a,,edgar
edgar_r_900000016,c:31006,2013-12-10,series-a,,edgar
edgar_r_900000017,c:31006,2013-12-05,series-a,,edgar
edgar_r_900000018,c:31006,2013-09-27,series-a,,edgar
edgar_r_900000019,c:31006,2013-06-28,series-a,,edgar
edgar_r_900000020,c:31006,2012-05-16,series-a,,edgar
edgar_r_900000021,c:31006,2011-09-07,series-a,,edgar
edgar_r_900000022,c:31006,2011-05-05,series-a,,edgar
edgar_r_900000023,c:31006,2010-07-07,series-a,,edgar
edgar_r_900000024,c:31006,2009-12-23,series-a,,edgar
edgar_r_900000025,c:31006,2009-11-30,series-a,,edgar
edgar_r_900000026,c:31006,2009-04-14,series-a,,edgar
edgar_r_900000027,c:224067,2026-01-14,series-a,,edgar
edgar_r_900000028,c:224067,2025-01-15,series-a,,edgar
edgar_r_900000029,c:224067,2024-01-11,series-a,,edgar
edgar_r_900000030,c:224067,2023-01-13,series-a,,edgar
edgar_r_900000031,c:224067,2022-01-14,series-a,,edgar
edgar_r_900000032,c:224067,2021-01-13,series-a,,edgar
edgar_r_900000033,c:224067,2020-01-15,series-a,,edgar
edgar_r_900000034,c:224067,2019-01-15,series-a,,edgar
edgar_r_900000035,c:224067,2018-01-12,series-a,,edgar
edgar_r_900000036,c:248996,2009-10-02,series-a,,edgar
edgar_r_900000037,c:38811,2019-10-17,series-a,,edgar
edgar_r_900000038,c:38811,2014-01-10,series-a,,edgar
edgar_r_900000039,c:198185,2022-04-15,series-a,,edgar
edgar_r_900000040,c:198185,2022-03-10,series-a,,edgar
edgar_r_900000041,c:198185,2018-08-24,series-a,,edgar
edgar_r_900000042,edgar_c_332d28c62b31,2021-08-23,series-a,,edgar
edgar_r_900000043,c:243003,2026-02-25,series-a,,edgar
edgar_r_900000044,c:243003,2026-02-17,series-a,,edgar
edgar_r_900000045,edgar_c_f4944d9881ef,2025-07-28,series-a,,edgar
edgar_r_900000046,edgar_c_f4944d9881ef,2024-07-26,series-a,,edgar
edgar_r_900000047,edgar_c_f4944d9881ef,2023-07-26,series-a,,edgar
edgar_r_900000048,edgar_c_f4944d9881ef,2022-07-27,series-a,,edgar
edgar_r_900000049,edgar_c_f4944d9881ef,2021-07-27,series-a,,edgar
edgar_r_900000050,edgar_c_f4944d9881ef,2020-07-28,series-a,,edgar
edgar_r_900000051,edgar_c_f4944d9881ef,2019-07-30,series-a,,edgar
edgar_r_900000052,edgar_c_f4944d9881ef,2018-08-06,series-a,,edgar
edgar_r_900000053,c:20007,2025-08-28,series-a,,edgar
edgar_r_900000054,c:20007,2024-09-03,series-a,,edgar
edgar_r_900000055,c:20007,2023-06-06,series-a,,edgar
edgar_r_900000056,c:20007,2022-06-09,series-a,,edgar
edgar_r_900000057,edgar_c_c54d2193bd1c,2018-05-02,series-a,,edgar
edgar_r_900000058,c:143222,2017-12-21,series-a,,edgar
edgar_r_900000059,c:8931,2020-03-13,series-a,,edgar
edgar_r_900000060,c:42408,2025-12-08,series-a,,edgar
edgar_r_900000061,r:22216,2025-09-26,series-a,,edgar
edgar_r_900000062,edgar_c_4142d3a888aa,2016-04-08,series-a,,edgar
edgar_r_900000063,edgar_c_4142d3a888aa,2015-06-12,series-a,,edgar
edgar_r_900000064,edgar_c_93c14748e8f1,2013-02-21,series-a,,edgar
edgar_r_900000065,edgar_c_93c14748e8f1,2012-03-19,series-a,,edgar
edgar_r_900000066,edgar_c_93c14748e8f1,2011-03-18,series-a,,edgar
edgar_r_900000067,edgar_c_93c14748e8f1,2010-12-07,series-a,,edgar
edgar_r_900000068,edgar_c_93c14748e8f1,2009-12-07,series-a,,edgar
edgar_r_900000069,c:36651,2026-04-02,series-a,,edgar
edgar_r_900000070,c:36651,2025-09-18,series-a,,edgar
edgar_r_900000071,c:36651,2025-04-04,series-a,,edgar
edgar_r_900000072,c:36651,2024-09-20,series-a,,edgar
edgar_r_900000073,c:36651,2024-04-01,series-a,,edgar
edgar_r_900000074,c:36651,2023-09-14,series-a,,edgar
edgar_r_900000075,c:36651,2023-05-11,series-a,,edgar
edgar_r_900000076,c:36651,2023-04-06,series-a,,edgar
edgar_r_900000077,c:36651,2022-09-19,series-a,,edgar
edgar_r_900000078,c:36651,2022-04-07,series-a,,edgar
edgar_r_900000079,c:36651,2021-09-17,series-a,,edgar
edgar_r_900000080,c:36651,2021-04-07,series-a,,edgar
edgar_r_900000081,c:36651,2020-09-17,series-a,,edgar
edgar_r_900000082,c:36651,2020-04-16,series-a,,edgar
edgar_r_900000083,c:36651,2019-09-16,series-a,,edgar
edgar_r_900000084,c:36651,2019-04-02,series-a,,edgar
edgar_r_900000085,c:36651,2018-09-19,series-a,,edgar
edgar_r_900000086,c:36651,2018-04-03,series-a,,edgar
edgar_r_900000087,c:36651,2017-09-19,series-a,,edgar
edgar_r_900000088,c:36651,2017-04-04,series-a,,edgar
edgar_r_900000089,c:36651,2016-09-16,series-a,,edgar
edgar_r_900000090,c:36651,2016-04-04,series-a,,edgar
