source,target,company,weight,round_gap_years,source_round,target_round
Digital Media Partners,"GMO VenturePartners, Inc.",2C2P,0.5485862977124283,2.001,series-a,series-b
Crosslink Capital,Fung Capital USA,500Friends,0.7421885550947898,0.994,series-a,series-b
Crosslink Capital,Intel Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Intel Capital,Crosslink Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Intel Capital,Fung Capital USA,500Friends,0.7421885550947898,0.994,series-a,series-b
Justin Yoshimura,Crosslink Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Justin Yoshimura,Fung Capital USA,500Friends,0.7421885550947898,0.994,series-a,series-b
Justin Yoshimura,Intel Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Matt Gilbert,Crosslink Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Matt Gilbert,Fung Capital USA,500Friends,0.7421885550947898,0.994,series-a,series-b
Matt Gilbert,Intel Capital,500Friends,0.7421885550947898,0.994,series-a,series-b
Atomico,Earlybird Venture Capital,6Wunderkinder,0.5503915985876174,1.99,series-a,series-b
Atomico,Sequoia Capital,6Wunderkinder,0.5503915985876174,1.99,series-a,series-b
InterSouth Partners,Grotech Ventures,6fusion,0.7415792049195952,0.997,series-a,series-b
Austin Ventures,Kettle Partners,ACTIVE Network,0.927981644069853,0.249,series-a,series-b
Austin Ventures,Ticketmaster,ACTIVE Network,0.927981644069853,0.249,series-a,series-b
Austin Ventures,William Blair New World Ventures,ACTIVE Network,0.927981644069853,0.249,series-a,series-b
Delta Partners,Enterprise Ireland,AMT (Aircraft Management Technologies),0.6881718897893003,1.246,series-a,series-b
Delta Partners,Pentech Ventures,AMT (Aircraft Management Technologies),0.6881718897893003,1.246,series-a,series-b
Caja Navarra,Balderton Capital,Abiquo,0.7906439036983959,0.783,series-a,series-b
Caja Navarra,Eurecan,Abiquo,0.7906439036983959,0.783,series-a,series-b
Caja Navarra,Nauta Capital,Abiquo,0.7906439036983959,0.783,series-a,series-b
CorporacciÃÂ³nCan - Grupo Corporativo Empresarial Caja Navara,Balderton Capital,Abiquo,0.7906439036983959,0.783,series-a,series-b
CorporacciÃÂ³nCan - Grupo Corporativo Empresarial Caja Navara,Eurecan,Abiquo,0.7906439036983959,0.783,series-a,series-b
CorporacciÃÂ³nCan - Grupo Corporativo Empresarial Caja Navara,Nauta Capital,Abiquo,0.7906439036983959,0.783,series-a,series-b
Nauta Capital,Balderton Capital,Abiquo,0.7906439036983959,0.783,series-a,series-b
Nauta Capital,Eurecan,Abiquo,0.7906439036983959,0.783,series-a,series-b
Centennial Ventures,Monitor Clipper Funds,Accellos,0.5706463425441968,1.87,series-a,series-b
Murphree Venture Partners,Centennial Ventures,Accellos,0.5706463425441968,1.87,series-a,series-b
Murphree Venture Partners,Monitor Clipper Funds,Accellos,0.5706463425441968,1.87,series-a,series-b
Relay Ventures,GrandBanks Capital,Achievers,0.7945499175292065,0.767,series-a,series-b
Relay Ventures,Laurence Capital,Achievers,0.7945499175292065,0.767,series-a,series-b
North Bridge Venture Partners,Sigma Partners,Acquia,0.613923463879359,1.626,series-a,series-b
