eval_date,sector,ssi,ssi_dumb,n_entrants,mean_tps_pit,max_tps_pit,n_top_tier,ipd_spread_days,swarm_investors,alpha_k12,alpha_k24,alpha_k6,alpha_k18,alpha_k36,retmom_alpha_k12,retmom_alpha_k24,retmom_alpha_k6,retmom_alpha_k18,retmom_alpha_k36,log_deal_volume,ssi_norm
2005-12-31,IGV,0.30053982,148.0,148,0.045367,1.08334,5,165.0,"Advantage Capital Partners|Propulsion Ventures|YFM Venture Finance|Split Rock Partners|Frazier Technology Ventures|SeaPoint Ventures|Oak Investment Partners|Hunt Ventures|Alliance of Angels|Rembrandt Venture Partners|Centerpoint Ventures|Worldview Technology Partners|PrairieGold Venture Partners|Allegis Capital|OVP Venture Partners|Acartha Group|FTV Capital|Insight Venture Partners|Pritzker Group Venture Capital|Upfront Ventures|ARCH Venture Partners|Ticonderoga Capital|Redhills Ventures|OCA Ventures|Tudor Growth Equity|Sudinnova|Formula Vision Technologies|Village Ventures|BRM Capital|Inflexion Partners|Tall Oaks Capital Partners|Wellington Partners|Financiere De l'Echiquier|123 Venture|Co-Investor|TechFund Capital|Triangle Venture Capital Group|Granite Ventures|Velocity Interactive Group|Jumpstart-up|Artiman Ventures|Castile Ventures|Storm Ventures|YMG Capital Management|AIG Investments|Clayton Associates|Votum Capital|Chrysalis Ventures|Cronus Ventures|Vista Ventures|Adams Street Partners|Michael McCoy|Nicholl, Rupert|Millwater Investments Limited|Groupe Siparex|Core Capital Partners|The McKay Trust|Franche-ComtÃÂ© PME Gestion|Rick Holliday-Smith|Clevedon Pastoral Holdings|Excelsior Asset Mgt LLC|Sterling Partners|AmorÃ§age RhÃ´ne Alpes|Joinwell Finance|WR Hambrecht|Industry Ventures|Maveron|CommonAngels|WRF Capital|Navigator Technology Ventures|Advent International|Formula Ventures|Selby Venture Partners|Technology Venture Partners|Still River Funds|Starfish Ventures|Greylock Partners|Franklin Advisers|MKS Ventures|Merchant Banking Devision|Private equity group|Nordic Venture Partners|Vaekstfonden|Pelion Venture Partners|Kodiak Venture Partners|Borealis Ventures|Aweida Venture Partners|OTC Asset Management|Jefferson Partners|Needham Capital Partners|Morgan Stanley Venture Partners|Entrepreneur Growth Fund|Flybridge Capital Partners|Investcorp Gulf Investments|GulfSouth Capital|Wheatley Partners|Southern Farm Bureau|iNovia Capital|Hotung Venture Group|FreshTracks Capital|Point Judith Capital|Long River Ventures|Growth Works|New Brunswick Innovation Foundation|Enhanced Capital Partners|Total Technology Ventures|Baird Venture Partners|Svoboda Capital|North Hill Ventures|Apex Venture Partners|Ledstiernan|AOL|Milestone Venture Partners|Novacap Investments|IAC|Hearst Ventures|Wall Street Technology Partners|IDF CAPITAL|ATA Ventures|Boston Capital Ventures|Patriot Capital Funding|Topspin Partners|CIBC World Markets|CSK Venture Capital|TWJ Capital|SEB Venture Capital|JLA Ventures|Silicon Alley Venture Partners|Skylon Advisors|Verdane Capital|AH Ventures|Viking Venture Management|Jafco Ventures|TeleSoft Partners|Capybara Ventures|SoftBank Capital|SmartForest Ventures|RSS Investors Fund|RBC Capital Markets|Lighthouse Capital Partners|Blumberg Capital|CMEA Capital|Add Partners|ITU Ventures|Roda Group|Scottish Investment Bank|Sigma Capital Group|Camden Partners",-0.005353365051079,-0.0030349255172086,,,0.0071198317334895,,,,,,5.003946305945459,0.16755572609596597
2005-12-31,SOXX,0.31842337,49.0,49,0.085193,0.938757,4,168.0,Balderton Capital|Palisade Capital Management|Chrysalis Ventures|Sierra Ventures|NeoCarta Ventures|Techfarm Ventures|Shepherd Ventures|Enterprise Partners|BB&T Fund|3i Group|NW Brown Ventures|Cambridge Business Angels|Cambridge Capital Group|Amadeus Capital Partners|Austin Ventures|Centennial Ventures|International Finance Corporation|Legend Capital|IDG Technology Venture Investment|iGlobe Partners|HSBC Private Equity (Asia)|Harbinger Ventures|CID Group|Accel Partners|TVM Capital|Artiman Ventures|American River Ventures|Landa Ventures|Gemini Israel ventures|Technology Venture Partners|Index Ventures|New Enterprise Associates|Parawin Venture Capital|WK Technology Fund|Keynote Ventures|Entrepreneurs Fund|Clearstone Venture Partners|NJTC Venture Fund|Miramar Venture Partners|Siemer Ventures|Tech Coast Angels|InterSouth Partners|Sevin Rosen Funds|NC IDEA|H.I.G. Ventures|Rochester Angel Network|Stonehenge Capital|Lavauzelle|XAnge Private Equity,-0.0071659164072369,-0.0072870818713209,,,-0.011433753184479,,,,,,3.912023005428146,0.16408806645738103
2005-12-31,XBI,1.04416851,70.0,70,0.201742,1.574795,6,168.0,Wageningen Business Generator|Technofund Flevoland|Lupus Ventures|PPM Oost|University License Equity Holdings|High Country Venture|HealthCap|Johnson & Johnson Development Corporation|L Capital Partners|Oak Investment Partners|Aberdare Ventures|Western States Investment Group|Adams Street Partners|SV Life Sciences|Charitable Leadership Foundation|Burrill & Company|Prolog Ventures|Redmont Venture Partners|Harris & Harris Group|Scottish Investment Bank|E-Synergy|Highland Capital Partners|Kitty Hawk Capital|Quaker BioVentures|Initiative Capital|Tilocor Life Science|Index Ventures|Auriga Partners|BioFund Management|DFJ ePlanet Ventures|CERN Pension Fund|New England Partners|Crocker Capital|F2 Ventures|Ofer Hi-Tech|Jerusalem Global Ventures|Yissum Research Development|Catalysta Ventures|Research Triangle Ventures|Novus Ventures|KfW Bankengruppe|Rheinland-Pfalz Fonds|Sanders Morris Harris Group|Uniseed Pty|Alta Partners|GBS Ventures|CapDecisif|AmorÃ§age RhÃ´ne Alpes|Abingworth|BayTech Venture Capital|Bioam Gestion|CDC Enterprises|IDInvest Partners|Wheatley Partners|Business Development Bank of Canada|MDS Capital|Venrock|Domain Associates|Scale Venture Partners|Amgen|OVP Venture Partners|Enterprise Partners|Novo A/S|New Science Ventures|Larkspur Capital Corporation|China Development Industrial Bank (CDIB)|Ascent Biomedical Ventures|Esperante Ventures|Biotechonomy|DFJ Frontier,,,,,0.0228007469795144,,,,,,4.2626798770413155,0.25007648496448825
2006-03-31,IGV,0.55147313,155.0,155,0.056568,1.083455,8,180.0,"Kodiak Venture Partners|Borealis Ventures|Aweida Venture Partners|OTC Asset Management|Jefferson Partners|Needham Capital Partners|GulfSouth Capital|Wheatley Partners|Investcorp Gulf Investments|Entrepreneur Growth Fund|Morgan Stanley Venture Partners|Southern Farm Bureau|Flybridge Capital Partners|Hotung Venture Group|iNovia Capital|Point Judith Capital|Long River Ventures|FreshTracks Capital|New Brunswick Innovation Foundation|Growth Works|Enhanced Capital Partners|Total Technology Ventures|Apex Venture Partners|North Hill Ventures|Baird Venture Partners|Svoboda Capital|Ledstiernan|Milestone Venture Partners|IAC|Hearst Ventures|Novacap Investments|AOL|Wall Street Technology Partners|IDF CAPITAL|ATA Ventures|Boston Capital Ventures|CSK Venture Capital|TWJ Capital|SEB Venture Capital|Topspin Partners|CIBC World Markets|Silicon Alley Venture Partners|JLA Ventures|Patriot Capital Funding|Skylon Advisors|Verdane Capital|Jafco Ventures|SmartForest Ventures|TeleSoft Partners|RSS Investors Fund|SoftBank Capital|Viking Venture Management|RBC Capital Markets|AH Ventures|Lighthouse Capital Partners|Capybara Ventures|Blumberg Capital|Add Partners|CMEA Capital|ITU Ventures|Roda Group|Scottish Investment Bank|Sigma Capital Group|Camden Partners|BayTech Venture Capital|Origin Ventures|RBC Venture Partners|Silverton Partners|Rustic Canyon Partners|True Ventures|Auriga Partners|Walden Israel Venture Capital|Elron Electronic Industries|J.P. Morgan Securities Inc.|Itochu Technology Ventures|Novus Ventures|Azure Capital Partners|Sunbridge Partners|Blue Chip Venture Company|SpringBank TechVentures|Darby Technology Ventures|Windward Ventures|Osprey Ventures|GKM|Northzone|River Cities Capital Funds|iD Ventures America|First Capital Group|Texas Pacific Group|Spectrum Equity|PAR Capital Management|Inventure Oy|Finnish Industry Investment|Truffle Capital|PONTIS Venture Partners Management|Quester Capital|Amicus Capital|First Round Capital|Draper Richards|CrÃ©dit Agricole Private Equity|SG Asset Management Private Equity|Pinnacle Ventures|Claremont Creek Ventures|Duff, Ackerman and Goodrich|e.ventures|Spark Ventures|Leapfrog Ventures|FF&P Private Equity|SaarlÃÂ¤ndische Wagnisfinanzierungsgesellschaft|Spencer Trask|Motorola Solutions Venture Capital|Crosspoint Venture Partners|Outfitter Ventures|Lilly Ventures|Mayfair Venture Capital|STIC International|Eyes of Texas Partners|Convergence Partners|Weber Capital|The Houston Angel Network|San Francisco Equity Partners|Flywheel Ventures|New Mexico Angels|Fort Washington Capital Partners Group|Primaveris|Hillsven Capital|Rincon Venture Partners|Bob Pasker|Presidio STX|IDG Ventures Vietnam|Greenpark Capital|Wilson Sonsini Goodrich & Rosati|Alexis Ohanian|Ventech|DN Capital|Trans Pacific Partners|Canopy Ventures|BC Select Fund|EDF Ventures|Debaeque|Emergence Capital Partners|Hudson Ventures|Sequel Venture Partners|MedioStream|Dawntreader Ventures|Anthem Capital Management|Cazenove Private Equity|Eqvitec Partners Oy|Star Ventures|Arts Alliance Ventures|Grazia Equity|Avida Group|Powershift Ventures|Amplifier Venture Partners|Westbridge Capital Partners",-0.0021120299865182,0.0012683353415254,,,0.0115075866970507,,,,,,5.049856007249537,0.32992248153577797
2006-03-31,SOXX,0.78459579,42.0,42,0.071099,0.988853,2,180.0,New Enterprise Associates|Index Ventures|Parawin Venture Capital|Keynote Ventures|WK Technology Fund|Clearstone Venture Partners|Entrepreneurs Fund|NJTC Venture Fund|Miramar Venture Partners|Tech Coast Angels|Siemer Ventures|InterSouth Partners|NC IDEA|Sevin Rosen Funds|H.I.G. Ventures|Rochester Angel Network|Stonehenge Capital|Lavauzelle|XAnge Private Equity|Vesbridge Partners|Alta Partners|Megunticook Management|YankeeTek Ventures|Neo Technology Ventures|Allen & Buckeridge|Jolimont Capital|JAFCO Asia|BASF Venture Capital|Canberra Business Development Fund|GE Commercial Finance|Creandum|Foundation Capital|RPM Ventures|Morningside Group|Cisco|The Exxel Group|Tudor Investments|Inventec Appliances|Eqvitec Partners Oy|Leonardo Venture|Tallwood Venture Capital|Granite Ventures,-0.0023248132295401,-0.0100677470381443,,,-0.013245830656415,,,,,,3.7612001156935624,0.4043133081962589
2006-03-31,XBI,0.38363473,85.0,85,0.119187,1.539453,5,181.0,Novus Ventures|KfW Bankengruppe|Rheinland-Pfalz Fonds|Sanders Morris Harris Group|Alta Partners|GBS Ventures|Uniseed Pty|CapDecisif|AmorÃ§age RhÃ´ne Alpes|Abingworth|BayTech Venture Capital|IDInvest Partners|Bioam Gestion|CDC Enterprises|Wheatley Partners|MDS Capital|Business Development Bank of Canada|Domain Associates|Scale Venture Partners|Venrock|OVP Venture Partners|Amgen|Enterprise Partners|Larkspur Capital Corporation|New Science Ventures|China Development Industrial Bank (CDIB)|Novo A/S|Ascent Biomedical Ventures|Esperante Ventures|DFJ Frontier|Biotechonomy|WI Harper Group|Principia  SGR|RBC Venture Partners|LaunchCyte|Kramer Capital Partners|Saturn Partners|State Street Global Investments|Novo Ventures|The Vertical Group|Latterell Venture Partners|Frazier Healthcare Ventures|Delphi Ventures|Finlombarda Gestioni SGR|Amkey Ventures|RK Ventures Group|Pfizer Strategic Investments|BioAdvance|Lilly Ventures|Atlas Venture|New Leaf Venture Partners|First Analysis|BB Biotech Ventures|Stonehenge Capital|Forward Ventures|Ventech|Sevin Rosen Funds|DH Capital|The Trelys Funds|OH Beteiligungen|The Aurora Funds|Bayern Kapital|CQVB|Investissement Quebec|Sofinnova Ventures|HealthCare Ventures|RCT BioVentures|Morgenthaler Ventures|Sofinnova Partners|Quester Capital|Takeda Ventures|Astellas Venture Management|Amphion Innovations|Edmond de Rothschild Venture Capital|Truffle Capital|BEV Capital|DeNovo Ventures|Rho Capital Partners|NeoCarta Ventures|NC IDEA|Wilmington Investor Network|Charleston Angel Partners|Trinity Healthcare Development|Cardinal Health|NewSpring Capital,,-0.0071600491737157,,,0.0403287140390251,,,,,,4.454347296253507,0.08291049037199658
2006-03-31,XLF,1.73413069,8.0,8,0.549305,0.802006,3,59.0,Contour Venture Partners|First Round Capital|Village Ventures|Fidelity Ventures|Omidyar Network|Balderton Capital|Bessemer Venture Partners|Wellington Partners,-0.0006703206712391,-0.0078405077103255,,,-0.0017748663868072,,,,,,2.1972245773362196,0.3126619510802976
2006-06-30,FDN,0.27372216,6.0,6,0.136861,0.821166,1,61.0,Founders Fund|Meritech Capital Partners|SV Angel|Redpoint Ventures|IDInvest Partners|Ventech,0.0006469528981663,-0.0010949923625146,0.0061195210648071,-0.0078115981160573,0.0014406392461049,,,,,,1.9459101490553132,0.038092134616055866
2006-06-30,IGV,0.42878418,147.0,147,0.08023,1.250346,14,177.0,"Auriga Partners|True Ventures|BayTech Venture Capital|Silverton Partners|Rustic Canyon Partners|RBC Venture Partners|Origin Ventures|Walden Israel Venture Capital|Elron Electronic Industries|Itochu Technology Ventures|Sunbridge Partners|J.P. Morgan Securities Inc.|Novus Ventures|Azure Capital Partners|Blue Chip Venture Company|Darby Technology Ventures|SpringBank TechVentures|GKM|Windward Ventures|Osprey Ventures|Northzone|River Cities Capital Funds|Texas Pacific Group|First Capital Group|iD Ventures America|PAR Capital Management|Spectrum Equity|Finnish Industry Investment|Inventure Oy|Quester Capital|Truffle Capital|PONTIS Venture Partners Management|Amicus Capital|First Round Capital|Draper Richards|CrÃ©dit Agricole Private Equity|SG Asset Management Private Equity|Pinnacle Ventures|Claremont Creek Ventures|Duff, Ackerman and Goodrich|Spark Ventures|e.ventures|SaarlÃÂ¤ndische Wagnisfinanzierungsgesellschaft|Leapfrog Ventures|Lilly Ventures|Mayfair Venture Capital|Motorola Solutions Venture Capital|Outfitter Ventures|FF&P Private Equity|Spencer Trask|Crosspoint Venture Partners|STIC International|Weber Capital|Eyes of Texas Partners|Convergence Partners|San Francisco Equity Partners|The Houston Angel Network|Fort Washington Capital Partners Group|Flywheel Ventures|New Mexico Angels|Primaveris|Hillsven Capital|Rincon Venture Partners|Bob Pasker|Presidio STX|IDG Ventures Vietnam|Greenpark Capital|Dawntreader Ventures|DN Capital|MedioStream|Debaeque|Canopy Ventures|Sequel Venture Partners|Ventech|EDF Ventures|Alexis Ohanian|BC Select Fund|Trans Pacific Partners|Wilson Sonsini Goodrich & Rosati|Emergence Capital Partners|Hudson Ventures|Anthem Capital Management|Cazenove Private Equity|Eqvitec Partners Oy|Star Ventures|Arts Alliance Ventures|Grazia Equity|Avida Group|Powershift Ventures|Amplifier Venture Partners|Westbridge Capital Partners|Benaroya Capital|Alco Investment|AdmitOne Security|Gould Investments|Adams Capital Management|Sarofim Fayez and Co.|Chart Venture Partners|TNP|AWE net|Freeze L.L.C|Elaia Partners|Doughty Hanson Technology Ventures|Active Venture Partners|Adara Venture Partners|Enspire Capital|Discovery Capital|High-Tech Gruenderfonds|Industrial and Financial Investments Company|Adena Ventures|Safeguard Scientifics|Jackson Boulevard Capital Management|Bahrain Middle East Bank|UOB Venture|BC Advantage Funds|Yaletown Venture Partners|Eden Ventures|Peter Gabriel|S-Venture Capital Dortmund|MIG AG|Incubic Venture Fund|Clydesdale Ventures|OSEO Innovation|FFP Holdings|The Halo Fund|The Angels' Forum|HSBC Retail Services|Braemar Energy Ventures|Legend Capital|Big Bang Ventures|Spark Capital|Startup Capital Ventures|Lanza TechVentures|Savia Capital|NC IDEA|FirstMark Capital|Lanza Tech Ventures|Boulder Ventures|Crescendo Ventures|University of Utah Endowment|Formative Ventures|Meusinvest|BIP Investment Partners|Audiolux|Partners at Venture|Vivium Life Private Equity|Powe Capital Management",-0.0011235293484525,0.0050726560787436,-0.005353365051079,-0.0030349255172086,0.0132395157812513,,,,,,4.997212273764115,0.2505364217901933
2006-06-30,SOXX,0.13202537,31.0,31,0.103179,0.684641,2,166.0,YankeeTek Ventures|Alta Partners|Megunticook Management|Vesbridge Partners|Neo Technology Ventures|JAFCO Asia|GE Commercial Finance|Allen & Buckeridge|Jolimont Capital|BASF Venture Capital|Canberra Business Development Fund|Creandum|Foundation Capital|RPM Ventures|Tudor Investments|The Exxel Group|Morningside Group|Cisco|Inventec Appliances|Eqvitec Partners Oy|Leonardo Venture|Tallwood Venture Capital|Granite Ventures|Bessemer Venture Partners|Union Square Ventures|Matrix Partners|Rose Tech Ventures|Frontier Management Group|First Round Capital|Quicksilver Ventures|Rock Creek Capital,-0.0076994539641921,-0.0091616160014473,-0.0071659164072369,-0.0072870818713209,-0.0118079830623854,,,,,,3.4657359027997265,0.06803454057602719
