funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
3,c:5,f:4,c:5,2005-05-01,series-a,Accel Partners,Facebook,social,social,FDN,consumer_internet,0.7
4,c:5,f:1,c:5,2006-04-01,series-b,Greylock Partners,Facebook,social,social,FDN,consumer_internet,0.7
4,c:5,f:5,c:5,2006-04-01,series-b,Meritech Capital Partners,Facebook,social,social,FDN,consumer_internet,0.7
4,c:5,f:6,c:5,2006-04-01,series-b,Founders Fund,Facebook,social,social,FDN,consumer_internet,0.7
4,c:5,f:3181,c:5,2006-04-01,series-b,SV Angel,Facebook,social,social,FDN,consumer_internet,0.7
18,c:22,f:16,c:22,2007-06-01,series-a,Acadia Woods Partners,MeetMoi,social,social,FDN,consumer_internet,0.7
41,c:46,f:44,c:46,2006-03-01,series-a,Debaeque,Strands Labs,software,software,IGV,saas,0.7
41,c:46,f:43,c:46,2006-03-01,series-a,Sequel Venture Partners,Strands Labs,software,software,IGV,saas,0.7
46,c:58,f:4,c:58,2005-04-01,series-a,Accel Partners,Prosper,finance,finance,XLF,fintech,0.7
46,c:58,f:48,c:58,2005-04-01,series-a,Benchmark,Prosper,finance,finance,XLF,fintech,0.7
47,c:58,f:4,c:58,2006-02-01,series-b,Accel Partners,Prosper,finance,finance,XLF,fintech,0.7
47,c:58,f:48,c:58,2006-02-01,series-b,Benchmark,Prosper,finance,finance,XLF,fintech,0.7
47,c:58,f:46,c:58,2006-02-01,series-b,Fidelity Ventures,Prosper,finance,finance,XLF,fintech,0.7
47,c:58,f:2,c:58,2006-02-01,series-b,Omidyar Network,Prosper,finance,finance,XLF,fintech,0.7
79,c:62,f:26,c:62,2004-03-01,series-b,Draper Fisher Jurvetson (DFJ),Skype,software,software,IGV,saas,0.7
79,c:62,f:18,c:62,2004-03-01,series-b,Index Ventures,Skype,software,software,IGV,saas,0.7
93,c:109,f:29,c:109,2007-05-08,series-a,First Round Capital,Mashery,enterprise,enterprise,IGV,saas,0.7
93,c:109,f:1396,c:109,2007-05-08,series-a,Rose Tech Ventures,Mashery,enterprise,enterprise,IGV,saas,0.7
93,c:109,f:446,c:109,2007-05-08,series-a,Felicis Ventures,Mashery,enterprise,enterprise,IGV,saas,0.7
99,c:47,f:3181,c:47,2007-01-01,series-a,SV Angel,Ning by Glam Media,enterprise,enterprise,IGV,saas,0.7
145,c:169,f:48,c:169,2006-09-01,series-a,Benchmark,Seeking Alpha,finance,finance,XLF,fintech,0.7
145,c:169,f:4,c:169,2006-09-01,series-a,Accel Partners,Seeking Alpha,finance,finance,XLF,fintech,0.7
152,c:176,f:17,c:176,2003-11-01,series-a,Sequoia Capital,LinkedIn,social,social,FDN,consumer_internet,0.7
153,c:176,f:1,c:176,2004-10-01,series-b,Greylock Partners,LinkedIn,social,social,FDN,consumer_internet,0.7
191,c:208,f:1,c:208,2006-05-01,series-a,Greylock Partners,Oodle,social,social,FDN,consumer_internet,0.7
191,c:208,f:13,c:208,2006-05-01,series-a,Redpoint Ventures,Oodle,social,social,FDN,consumer_internet,0.7
192,c:208,f:146,c:208,2007-07-01,series-b,Jafco Ventures,Oodle,social,social,FDN,consumer_internet,0.7
198,c:211,f:26,c:211,2005-01-01,series-a,Draper Fisher Jurvetson (DFJ),ooma,hardware,hardware,SOXX,semiconductors,0.7
198,c:211,f:1047,c:211,2005-01-01,series-a,Worldview Technology Partners,ooma,hardware,hardware,SOXX,semiconductors,0.7
198,c:211,f:242,c:211,2005-01-01,series-a,Draper Richards,ooma,hardware,hardware,SOXX,semiconductors,0.7
198,c:211,f:379,c:211,2005-01-01,series-a,WI Harper Group,ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:26,c:211,2006-12-01,series-b,Draper Fisher Jurvetson (DFJ),ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:6,c:211,2006-12-01,series-b,Founders Fund,ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:1047,c:211,2006-12-01,series-b,Worldview Technology Partners,ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:242,c:211,2006-12-01,series-b,Draper Richards,ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:379,c:211,2006-12-01,series-b,WI Harper Group,ooma,hardware,hardware,SOXX,semiconductors,0.7
199,c:211,f:3181,c:211,2006-12-01,series-b,SV Angel,ooma,hardware,hardware,SOXX,semiconductors,0.7
