sector,eval_date,n_expected,n_silent,top_silenced_investors,sms_score,sms_intensity,sms_score_norm
IGV,2006-03-31,17,6,SV Angel|Draper Fisher Jurvetson (DFJ)|Bessemer Venture Partners,0.352941176449827,2.117647058698962,0.3529411765380623
SOXX,2006-03-31,2,0,,0.0,0.0,0.0
IGV,2006-06-30,28,8,SV Angel|Leapfrog Ventures|Draper Fisher Jurvetson (DFJ)|Greylock Partners|Accel Partners,0.28571428570408164,2.285714285632653,0.2857142857755102
SOXX,2006-06-30,3,0,,0.0,0.0,0.0
XBI,2006-06-30,1,0,,0.0,0.0,0.0
IGV,2006-09-30,32,9,SV Angel|Intel Capital|Atlas Venture|Novak Biddle Venture Partners|Draper Fisher Jurvetson (DFJ),0.281249999991211,2.531249999920899,0.2812500000615235
SOXX,2006-09-30,8,0,,0.0,0.0,0.0
XBI,2006-09-30,3,0,,0.0,0.0,0.0
IGV,2006-12-31,20,6,Austin Ventures|Accel Partners|Prism Venture Management|Hummer Winblad Venture Partners|Bessemer Venture Partners,0.299999999985,1.7999999999099998,0.30000000006
SOXX,2006-12-31,2,0,,0.0,0.0,0.0
XBI,2006-12-31,2,0,,0.0,0.0,0.0
IGV,2007-03-31,41,10,SV Angel|Lightspeed Venture Partners|First Round Capital|Genesis Partners|Draper Richards,0.2439024390184414,2.439024390184414,0.24390243907941703
SOXX,2007-03-31,1,0,,0.0,0.0,0.0
XBI,2007-03-31,13,1,Jafco Ventures,0.07692307691715976,0.07692307691715976,0.07692307693639053
IGV,2007-06-30,30,3,Austin Ventures|Amicus Capital|Draper Fisher Jurvetson (DFJ),0.09999999999666667,0.29999999999000004,0.10000000002166667
SOXX,2007-06-30,10,1,Cisco,0.09999999999,0.09999999999,0.100000000015
XBI,2007-06-30,4,1,New Enterprise Associates,0.2499999999375,0.2499999999375,0.25
IGV,2007-09-30,41,13,SV Angel|Draper Richards|Draper Fisher Jurvetson (DFJ)|Mayfield Fund|Atomico,0.31707317072397384,4.12195121941166,0.31707317080324215
SOXX,2007-09-30,10,2,New Cycle Capital|SV Angel,0.19999999998,0.39999999996,0.20000000003
XBI,2007-09-30,9,0,,0.0,0.0,0.0
IGV,2007-12-31,42,11,Cisco|Ron Conway|SV Angel|Venrock|Atomico,0.2619047618985261,2.880952380883787,0.26190476196400225
SOXX,2007-12-31,10,0,,0.0,0.0,0.0
XBI,2007-12-31,4,0,,0.0,0.0,0.0
IGV,2008-03-31,44,7,SV Angel|Ron Conway|Commonwealth Capital Ventures|New Enterprise Associates|Valhalla Partners,0.1590909090872934,1.1136363636110538,0.15909090912706614
SOXX,2008-03-31,2,1,BDC Venture Capital,0.49999999975,0.49999999975,0.499999999875
XBI,2008-03-31,6,1,Kleiner Perkins Caufield & Byers,0.16666666663888888,0.16666666663888888,0.16666666668055555
IGV,2008-06-30,33,6,SV Angel|Draper Fisher Jurvetson (DFJ)|Greylock Partners|Novak Biddle Venture Partners|Index Ventures,0.1818181818126722,1.0909090908760333,0.18181818185812676
SOXX,2008-06-30,5,0,,0.0,0.0,0.0
XBI,2008-06-30,3,0,,0.0,0.0,0.0
IGV,2008-09-30,32,6,European Founders Fund|Fidelity Ventures|Felicis Ventures|Timothy Draper|General Catalyst Partners,0.18749999999414066,1.124999999964844,0.18750000004101566
SOXX,2008-09-30,2,0,,0.0,0.0,0.0
XBI,2008-09-30,2,0,,0.0,0.0,0.0
IGV,2008-12-31,30,4,Index Ventures|Bessemer Venture Partners|General Catalyst Partners|Highland Capital Partners,0.1333333333288889,0.5333333333155555,0.13333333336222222
SOXX,2008-12-31,3,1,RRE Ventures,0.3333333332222222,0.3333333332222222,0.33333333330555553
XBI,2008-12-31,3,2,Bessemer Venture Partners|Frazier Healthcare Ventures,0.6666666664444444,1.3333333328888888,0.6666666666111111
IGV,2009-03-31,36,8,Ron Conway|SV Angel|Foundation Capital,0.2222222222160494,1.7777777777283952,0.22222222227160496
SOXX,2009-03-31,2,0,,0.0,0.0,0.0
XBI,2009-03-31,1,0,,0.0,0.0,0.0
IGV,2009-06-30,27,5,SV Angel|In-Q-Tel|First Round Capital|Foundry Group|Ron Conway,0.18518518517832647,0.9259259258916324,0.18518518522462277
SOXX,2009-06-30,1,0,,0.0,0.0,0.0
XBI,2009-06-30,4,0,,0.0,0.0,0.0
IGV,2009-09-30,34,6,Ron Conway|Safeguard Scientifics|Lightspeed Venture Partners|Draper Fisher Jurvetson (DFJ)|Index Ventures,0.17647058823010384,1.058823529380623,0.1764705882742215
XBI,2009-09-30,6,1,SV Angel,0.16666666663888888,0.16666666663888888,0.16666666668055555
IGV,2009-12-31,53,15,Ron Conway|Founders Fund|First Round Capital|SV Angel|In-Q-Tel,0.28301886791918834,4.245283018787825,0.2830188679899431
SOXX,2009-12-31,4,4,Lightspeed Venture Partners|Sequoia Capital|InterWest Partners|Goldman Sachs,0.99999999975,3.999999999,1.0
XBI,2009-12-31,6,3,Bessemer Venture Partners|Flybridge Capital Partners|North Bridge Venture Partners,0.49999999991666666,1.49999999975,0.5000000000416667
IGV,2010-03-31,45,19,Felicis Ventures|SV Angel|Amicus Capital|Intel Capital|Founders Fund,0.42222222221283956,8.022222222043952,0.4222222223183951
XBI,2010-03-31,8,1,New Leaf Venture Partners,0.124999999984375,0.124999999984375,0.125000000015625
IGV,2010-06-30,58,19,SV Angel|Ron Conway|Felicis Ventures|SoftTech VC|Jason Finger,0.32758620689090373,6.224137930927171,0.3275862069728003
XBI,2010-06-30,3,0,,0.0,0.0,0.0
IGV,2010-09-30,64,13,SV Angel|SoftTech VC|First Round Capital|O'Reilly AlphaTech Ventures|500 Startups,0.20312499999682615,2.64062499995874,0.20312500004760742
SOXX,2010-09-30,2,0,,0.0,0.0,0.0
XBI,2010-09-30,5,1,Claremont Creek Ventures,0.19999999996,0.19999999996,0.20000000001
IGV,2010-12-31,58,21,SV Angel|First Round Capital|500 Startups|Sequoia Capital|Lightspeed Venture Partners,0.3620689655109988,7.603448275730975,0.3620689656015161
SOXX,2010-12-31,1,0,,0.0,0.0,0.0
XBI,2010-12-31,8,1,FLOODGATE,0.124999999984375,0.124999999984375,0.125000000015625
IGV,2011-03-31,59,14,SV Angel|First Round Capital|Ignition Partners|Greycroft Partners|Battery Ventures,0.2372881355891985,3.322033898248779,0.23728813564852055
SOXX,2011-03-31,1,0,,0.0,0.0,0.0
XBI,2011-03-31,9,0,,0.0,0.0,0.0
IGV,2011-06-30,88,22,SV Angel|Michael Birch|Ron Conway|Spark Capital|FLOODGATE,0.24999999999715908,5.4999999999375,0.2500000000596591
SOXX,2011-06-30,3,0,,0.0,0.0,0.0
IGV,2011-09-30,81,30,SV Angel|First Round Capital|Lerer Ventures|Webb Investment Network|Baseline Ventures,0.3703703703657979,11.111111110973937,0.3703703704583905
SOXX,2011-09-30,1,0,,0.0,0.0,0.0
XBI,2011-09-30,3,0,,0.0,0.0,0.0
IGV,2011-12-31,29,4,500 Startups|Battery Ventures|Lerer Ventures|Neu Venture Capital,0.13793103447800237,0.5517241379120095,0.13793103451248512
SOXX,2011-12-31,1,0,,0.0,0.0,0.0
XBI,2011-12-31,11,0,,0.0,0.0,0.0
IGV,2012-03-31,55,14,SV Angel|First Round Capital|Jason Finger|Andreessen Horowitz|Tom McInerney,0.25454545454082644,3.56363636357157,0.2545454546044628
SOXX,2012-03-31,1,0,,0.0,0.0,0.0
XBI,2012-03-31,1,0,,0.0,0.0,0.0
IGV,2012-06-30,34,3,Bessemer Venture Partners|Salesforce|New Enterprise Associates,0.08823529411505192,0.26470588234515574,0.08823529413711075
SOXX,2012-06-30,1,0,,0.0,0.0,0.0
XBI,2012-06-30,2,0,,0.0,0.0,0.0
IGV,2012-09-30,32,5,Kleiner Perkins Caufield & Byers|New Enterprise Associates|SV Angel|Data Collective|General Catalyst Partners,0.1562499999951172,0.7812499999755861,0.15625000003417971
SOXX,2012-09-30,6,1,O'Reilly AlphaTech Ventures,0.16666666663888888,0.16666666663888888,0.16666666668055555
IGV,2012-12-31,36,12,Chris Dixon|Data Collective|SV Angel|Felicis Ventures|First Round Capital,0.3333333333240741,3.9999999998888893,0.33333333340740745
IGV,2013-03-31,25,10,Baseline Ventures|Lightspeed Venture Partners|500 Startups|Qualcomm Ventures|Andreessen Horowitz,0.399999999984,3.99999999984,0.400000000084
SOXX,2013-03-31,1,0,,0.0,0.0,0.0
IGV,2013-06-30,11,1,SV Angel,0.09090909090082644,0.09090909090082644,0.09090909092355372
SOXX,2013-06-30,2,0,,0.0,0.0,0.0
XBI,2013-09-30,3,0,,0.0,0.0,0.0
IGV,2013-12-31,3,0,,0.0,0.0,0.0
