company_id,investor_name,sector,series_a_date,series_a_qtr,series_b_date,is_silent
c:1010,Venrock,IGV,2008-01-30,2008-03-31,2008-11-10,False
c:10159,InterWest Partners,IGV,2007-11-12,2007-12-31,2008-08-26,False
c:10179,Draper Fisher Jurvetson (DFJ),IGV,2009-01-19,2009-03-31,2009-11-18,False
c:10179,New Enterprise Associates,IGV,2009-01-19,2009-03-31,2009-11-18,False
c:101893,Union Square Ventures,IGV,2012-09-05,2012-09-30,2013-07-23,False
c:1020,Polaris Partners,IGV,2006-06-23,2006-06-30,2007-10-01,False
c:102447,Andreessen Horowitz,IGV,2011-09-08,2011-09-30,2012-11-13,False
c:102447,In-Q-Tel,IGV,2011-09-08,2011-09-30,2012-11-13,False
c:104377,Canaan Partners,IGV,2006-09-01,2006-09-30,2008-01-01,False
c:10480,Mission Ventures,IGV,2007-03-01,2007-03-31,2009-04-14,False
c:10480,Selby Venture Partners,IGV,2007-03-01,2007-03-31,2009-04-14,False
c:1053,Shasta Ventures,IGV,2007-12-18,2007-12-31,2008-09-18,False
c:1053,Shasta Ventures,IGV,2006-11-21,2006-12-31,2008-09-18,False
c:10544,European Founders Fund,IGV,2008-09-04,2008-09-30,2009-05-01,True
c:1056,Benchmark,IGV,2007-12-07,2007-12-31,2009-08-18,False
c:10583,Fidelity Ventures,IGV,2008-09-03,2008-09-30,2010-03-02,True
c:10610,Clearstone Venture Partners,IGV,2008-12-01,2008-12-31,2010-06-28,False
c:10610,Shasta Ventures,IGV,2008-12-01,2008-12-31,2010-06-28,False
c:1062,New Enterprise Associates,XBI,2007-05-01,2007-06-30,2009-06-18,True
c:1063,Accel Partners,IGV,2007-03-05,2007-03-31,2007-10-01,False
c:1067,SV Angel,IGV,2007-07-01,2007-09-30,2007-12-01,True
c:1069,Accel Partners,IGV,2008-03-12,2008-03-31,2008-06-18,False
c:10716,Highland Capital Partners,IGV,2007-03-01,2007-03-31,2009-05-21,False
c:10716,Polaris Partners,IGV,2007-03-01,2007-03-31,2009-05-21,False
c:1078,Atomico,SOXX,2007-10-01,2007-12-31,2011-02-28,False
c:1078,Index Ventures,SOXX,2007-10-01,2007-12-31,2011-02-28,False
c:1078,New Enterprise Associates,SOXX,2007-10-01,2007-12-31,2011-02-28,False
c:1078,First Round Capital,SOXX,2007-10-01,2007-12-31,2011-02-28,False
c:10817,Ron Conway,IGV,2009-09-01,2009-09-30,2013-06-26,True
c:1088,Spark Capital,IGV,2007-10-31,2007-12-31,2008-12-11,False
c:1088,Union Square Ventures,IGV,2007-10-31,2007-12-31,2008-12-11,False
c:109,First Round Capital,IGV,2007-05-08,2007-06-30,2008-10-29,False
c:1090,Leapfrog Ventures,IGV,2006-04-01,2006-06-30,2008-02-01,True
c:1092,Kleiner Perkins Caufield & Byers,IGV,2006-01-01,2006-03-31,2007-02-12,False
c:109480,Matrix Partners,IGV,2011-09-21,2011-09-30,2012-07-26,False
c:1101,Greylock Partners,IGV,2007-03-26,2007-03-31,2008-07-24,False
c:1103,Index Ventures,IGV,2008-12-17,2008-12-31,2012-03-08,True
c:1105,Bessemer Venture Partners,IGV,2007-12-01,2007-12-31,2008-10-13,False
c:110668,Battery Ventures,IGV,2012-02-23,2012-03-31,2013-12-10,False
c:11118,Spark Capital,IGV,2011-11-30,2011-12-31,2013-09-26,False
c:11118,True Ventures,IGV,2011-11-30,2011-12-31,2013-09-26,False
c:11279,Bessemer Venture Partners,IGV,2006-01-01,2006-03-31,2007-02-14,False
c:11391,New Enterprise Associates,IGV,2008-01-01,2008-03-31,2009-12-01,False
c:11423,Venrock,IGV,2007-11-09,2007-12-31,2010-01-11,True
c:116174,Nexus Venture Partners,IGV,2012-04-13,2012-06-30,2013-09-01,False
c:1163,SV Angel,IGV,2007-02-20,2007-03-31,2008-02-01,True
c:11642,Lightspeed Venture Partners,SOXX,2008-09-01,2008-09-30,2011-02-23,False
c:11814,Intel Capital,IGV,2006-09-30,2006-09-30,2008-02-01,True
c:11837,vSpring Capital,IGV,2007-08-01,2007-09-30,2008-02-25,False
c:11888,Trinity Ventures,IGV,2008-10-03,2008-12-31,2010-03-22,False
c:11888,InterWest Partners,IGV,2008-10-03,2008-12-31,2010-03-22,False
c:11888,Leapfrog Ventures,IGV,2008-10-03,2008-12-31,2010-03-22,False
c:11906,Draper Richards,IGV,2007-08-01,2007-09-30,2012-05-01,True
c:1199,Benchmark,IGV,2007-02-01,2007-03-31,2008-03-09,False
c:1199,First Round Capital,IGV,2007-02-01,2007-03-31,2008-03-09,False
c:12,SV Angel,IGV,2007-07-01,2007-09-30,2008-05-01,True
c:12007,RRE Ventures,IGV,2011-09-01,2011-09-30,2013-02-11,False
c:12007,DFJ Gotham Ventures,IGV,2011-09-01,2011-09-30,2013-02-11,False
c:12007,Lerer Ventures,IGV,2011-09-01,2011-09-30,2013-02-11,True
c:1209,Intel Capital,IGV,2006-09-01,2006-09-30,2008-01-01,False
c:12099,New Enterprise Associates,SOXX,2006-03-01,2006-03-31,2007-11-20,False
c:12099,New Enterprise Associates,SOXX,2006-07-01,2006-09-30,2007-11-20,False
c:1212,Cisco,IGV,2007-10-01,2007-12-31,2008-05-20,True
c:1212,Cisco,IGV,2007-10-30,2007-12-31,2008-05-20,True
c:12173,Benchmark,IGV,2007-05-08,2007-06-30,2008-01-01,False
c:12232,Morgenthaler Ventures,IGV,2008-10-13,2008-12-31,2009-11-24,False
c:12232,Menlo Ventures,IGV,2008-10-13,2008-12-31,2009-11-24,False
c:12272,Accel Partners,IGV,2009-03-16,2009-03-31,2009-06-02,False
c:12272,SV Angel,IGV,2009-03-16,2009-03-31,2009-06-02,True
c:12281,Benchmark,IGV,2010-09-14,2010-09-30,2012-02-22,False
c:12281,Accel Partners,IGV,2010-09-14,2010-09-30,2012-02-22,False
c:1234,General Catalyst Partners,IGV,2006-05-01,2006-06-30,2007-10-01,False
c:1234,SV Angel,IGV,2006-05-01,2006-06-30,2007-10-01,True
c:1234,Comcast Ventures,IGV,2006-10-24,2006-12-31,2007-10-01,False
c:1234,General Catalyst Partners,IGV,2006-10-24,2006-12-31,2007-10-01,False
c:12348,500 Startups,IGV,2010-04-26,2010-06-30,2011-12-01,True
c:12348,Felicis Ventures,IGV,2010-04-26,2010-06-30,2011-12-01,True
c:12348,SoftTech VC,IGV,2010-04-26,2010-06-30,2011-12-01,True
c:12349,General Catalyst Partners,IGV,2009-01-22,2009-03-31,2009-08-12,False
c:12349,General Catalyst Partners,IGV,2008-11-24,2008-12-31,2009-08-12,False
c:1236,Kleiner Perkins Caufield & Byers,IGV,2006-11-01,2006-12-31,2008-05-27,False
c:12423,Novak Biddle Venture Partners,IGV,2006-08-17,2006-09-30,2008-10-09,True
c:1283,SV Angel,IGV,2006-06-05,2006-06-30,2007-09-01,True
c:129,Atlas Venture,IGV,2006-08-01,2006-09-30,2007-08-01,True
c:13,Accel Partners,IGV,2009-04-13,2009-06-30,2011-03-09,False
c:13,First Round Capital,IGV,2009-04-13,2009-06-30,2011-03-09,False
c:13,SV Angel,IGV,2009-04-13,2009-06-30,2011-03-09,True
c:130,Prism Venture Management,IGV,2006-06-01,2006-06-30,2007-08-01,False
c:1301,Lightspeed Venture Partners,IGV,2007-09-01,2007-09-30,2008-12-01,False
c:1303,Sigma Partners,IGV,2007-09-01,2007-09-30,2009-05-05,False
c:1308,Felicis Ventures,IGV,2008-07-01,2008-09-30,2012-09-24,True
c:1308,Timothy Draper,IGV,2008-07-01,2008-09-30,2012-09-24,True
c:13082,Canaan Partners,IGV,2006-04-28,2006-06-30,2007-01-10,False
c:131,First Round Capital,IGV,2007-01-01,2007-03-31,2007-03-01,True
c:131,Lightspeed Venture Partners,IGV,2007-01-01,2007-03-31,2007-03-01,False
c:13101,SV Angel,IGV,2010-06-30,2010-06-30,2011-06-21,True
c:13101,RRE Ventures,IGV,2010-06-30,2010-06-30,2011-06-21,False
c:13101,Jason Finger,IGV,2010-06-30,2010-06-30,2011-06-21,True
c:1319,Lightspeed Venture Partners,IGV,2007-02-21,2007-03-31,2007-10-08,False
c:13245,Prism Venture Management,IGV,2009-09-15,2009-09-30,2010-12-08,False
c:132476,Avalon Ventures,IGV,2012-10-19,2012-12-31,2008-11-24,False
c:13365,Khosla Ventures,IGV,2009-12-22,2009-12-31,2010-05-18,False
c:133774,Greylock Partners,IGV,2012-01-18,2012-03-31,2013-06-13,False
c:1342,Austin Ventures,IGV,2006-11-01,2006-12-31,2007-11-01,False
c:1349,Hummer Winblad Venture Partners,IGV,2006-12-01,2006-12-31,2007-10-01,False
c:13539,Kleiner Perkins Caufield & Byers,IGV,2006-06-12,2006-06-30,2009-01-06,False
c:13662,Lightspeed Venture Partners,IGV,2010-03-01,2010-03-31,2012-01-10,False
c:137742,RRE Ventures,SOXX,2008-11-01,2008-12-31,2011-12-20,True
c:1379,Greylock Partners,IGV,2006-10-01,2006-12-31,2007-07-01,False
c:13796,In-Q-Tel,IGV,2009-10-05,2009-12-31,2012-05-04,True
c:13807,Union Square Ventures,IGV,2009-12-30,2009-12-31,2010-11-09,False
c:13807,Founders Fund,IGV,2009-12-30,2009-12-31,2010-11-09,True
c:13807,Bessemer Venture Partners,IGV,2009-12-30,2009-12-31,2010-11-09,False
c:13816,Venrock,IGV,2008-10-24,2008-12-31,2010-06-08,False
c:138502,Nexus Venture Partners,IGV,2011-01-01,2011-03-31,2011-09-01,False
c:138870,Third Rock Ventures,XBI,2011-10-18,2011-12-31,2013-10-16,False
c:13922,Kleiner Perkins Caufield & Byers,IGV,2008-09-17,2008-09-30,2009-07-22,False
c:13927,European Founders Fund,IGV,2009-08-05,2009-09-30,2011-03-09,False
c:13927,Safeguard Scientifics,IGV,2009-08-05,2009-09-30,2011-03-09,True
c:139295,New Enterprise Associates,XBI,2011-10-20,2011-12-31,2013-06-11,False
c:139295,Canaan Partners,XBI,2011-10-20,2011-12-31,2013-06-11,False
c:13997,Emergence Capital Partners,IGV,2008-11-24,2008-12-31,2010-10-26,False
c:14,Benchmark,IGV,2007-05-01,2007-06-30,2008-03-16,False
c:1400,Greycroft Partners,IGV,2007-10-01,2007-12-31,2009-04-14,True
c:14028,Sigma Partners,IGV,2008-01-01,2008-03-31,2008-11-18,False
c:14053,Sierra Ventures,IGV,2008-11-21,2008-12-31,2010-02-09,False
c:140797,New Enterprise Associates,IGV,2011-11-03,2011-12-31,2013-02-21,False
c:140879,Index Ventures,IGV,2012-03-05,2012-03-31,2012-08-26,False
c:141367,High Country Venture,SOXX,2011-11-08,2011-12-31,2013-11-07,False
c:141939,Northzone,IGV,2012-05-14,2012-06-30,2013-04-11,False
c:142011,Lightspeed Venture Partners,IGV,2011-11-15,2011-12-31,2012-07-10,False
c:143420,Google Ventures,IGV,2011-12-01,2011-12-31,2013-10-29,False
c:143420,Khosla Ventures,IGV,2011-12-01,2011-12-31,2013-10-29,False
c:143830,Mayfield Fund,IGV,2011-02-01,2011-03-31,2012-12-04,False
c:143830,SoftTech VC,IGV,2011-02-01,2011-03-31,2012-12-04,False
c:143830,SV Angel,IGV,2011-02-01,2011-03-31,2012-12-04,True
c:144,Benchmark,IGV,2006-03-01,2006-03-31,2008-01-15,False
c:144237,True Ventures,SOXX,2012-07-18,2012-09-30,2013-11-20,False
c:144237,Khosla Ventures,SOXX,2012-07-18,2012-09-30,2013-11-20,False
c:144237,O'Reilly AlphaTech Ventures,SOXX,2012-07-18,2012-09-30,2013-11-20,True
c:144237,Lerer Ventures,SOXX,2012-07-18,2012-09-30,2013-11-20,False
c:144376,Norwest Venture Partners,IGV,2011-12-12,2011-12-31,2013-04-02,False
c:144958,Baseline Ventures,IGV,2013-02-28,2013-03-31,2013-10-17,True
c:144958,Lightspeed Venture Partners,IGV,2013-02-28,2013-03-31,2013-10-17,True
c:14516,Atlas Venture,IGV,2007-10-30,2007-12-31,2008-06-23,False
c:145203,Bessemer Venture Partners,IGV,2012-11-16,2012-12-31,2013-01-31,False
c:145203,Chris Dixon,IGV,2012-11-16,2012-12-31,2013-01-31,True
c:145478,Madrona Venture Group,IGV,2012-04-09,2012-06-30,2013-02-04,False
c:146349,Flagship Ventures,IGV,2012-01-06,2012-03-31,2012-12-17,False
c:146349,New Enterprise Associates,IGV,2012-01-06,2012-03-31,2012-12-17,False
c:147164,RRE Ventures,IGV,2011-07-05,2011-09-30,2012-01-17,False
c:147262,Khosla Ventures,SOXX,2012-01-18,2012-03-31,2013-09-25,False
c:147729,RRE Ventures,IGV,2008-01-01,2008-03-31,2013-01-24,False
c:148,Lightspeed Venture Partners,IGV,2007-05-24,2007-06-30,2009-08-04,False
c:148214,Austin Ventures,IGV,2011-01-01,2011-03-31,2012-01-31,False
c:14844,New Enterprise Associates,IGV,2009-11-09,2009-12-31,2011-08-09,False
c:148499,Kleiner Perkins Caufield & Byers,XBI,2012-02-02,2012-03-31,2012-06-05,False
c:148848,New Enterprise Associates,IGV,2012-02-07,2012-03-31,2013-05-01,False
c:148848,SV Angel,IGV,2012-02-07,2012-03-31,2013-05-01,True
c:148849,Baseline Ventures,IGV,2012-02-08,2012-03-31,2013-03-07,False
c:148849,True Ventures,IGV,2012-02-08,2012-03-31,2013-03-07,False
c:1491,RRE Ventures,IGV,2007-12-03,2007-12-31,2008-03-11,False
c:149425,FirstMark Capital,IGV,2012-02-14,2012-03-31,2013-01-08,False
c:149425,First Round Capital,IGV,2012-02-14,2012-03-31,2013-01-08,True
c:149425,Highland Capital Partners,IGV,2012-02-14,2012-03-31,2013-01-08,False
c:149425,FirstMark Capital,IGV,2011-04-15,2011-06-30,2013-01-08,False
c:149425,SV Angel,IGV,2011-04-15,2011-06-30,2013-01-08,True
c:149425,Highland Capital Partners,IGV,2011-04-15,2011-06-30,2013-01-08,False
c:1495,Bessemer Venture Partners,IGV,2006-11-01,2006-12-31,2007-11-01,False
c:1498,Canaan Partners,IGV,2006-09-01,2006-09-30,2007-12-01,False
c:1499,Draper Fisher Jurvetson (DFJ),IGV,2006-07-01,2006-09-30,2007-09-01,True
c:1499,First Round Capital,IGV,2006-07-01,2006-09-30,2007-09-01,True
c:1499,SV Angel,IGV,2006-07-01,2006-09-30,2007-09-01,True
c:15013,Storm Ventures,IGV,2008-12-01,2008-12-31,2010-10-26,False
c:150179,General Catalyst Partners,IGV,2010-05-01,2010-06-30,2011-11-01,True
c:15018,Leapfrog Ventures,IGV,2008-09-26,2008-09-30,2011-06-06,False
c:150384,Charles River Ventures,IGV,2012-01-01,2012-03-31,2012-09-24,False
c:150384,Kleiner Perkins Caufield & Byers,IGV,2012-01-01,2012-03-31,2012-09-24,False
c:150384,Accel Partners,IGV,2012-01-01,2012-03-31,2012-09-24,False
c:150576,Shasta Ventures,IGV,2012-02-27,2012-03-31,2013-05-02,False
c:150576,First Round Capital,IGV,2012-02-27,2012-03-31,2013-05-02,False
c:150843,Index Ventures,IGV,2012-07-12,2012-09-30,2013-09-15,False
c:150843,Khosla Ventures,IGV,2012-07-12,2012-09-30,2013-09-15,False
c:1512,General Catalyst Partners,IGV,2007-09-01,2007-09-30,2008-05-16,False
c:15141,InterWest Partners,SOXX,2006-09-15,2006-09-30,2008-11-19,False
c:151478,Venrock,IGV,2012-11-01,2012-12-31,2013-10-08,False
c:151478,Felicis Ventures,IGV,2012-11-01,2012-12-31,2013-10-08,True
c:15166,New Enterprise Associates,IGV,2010-04-07,2010-06-30,2012-04-23,False
c:151899,Storm Ventures,IGV,2009-11-01,2009-12-31,2010-06-03,False
c:15217,Union Square Ventures,SOXX,2008-01-01,2008-03-31,2010-02-08,False
c:152716,Northzone,IGV,2012-06-11,2012-06-30,2013-09-30,False
c:152865,General Catalyst Partners,IGV,2012-03-23,2012-03-31,2013-11-11,False
c:152865,Lightspeed Venture Partners,IGV,2012-03-23,2012-03-31,2013-11-11,False
c:153238,Jason Finger,IGV,2012-03-27,2012-03-31,2013-05-20,True
c:153239,Baseline Ventures,IGV,2011-08-01,2011-09-30,2012-01-01,True
c:153265,Norwest Venture Partners,IGV,2012-03-28,2012-03-31,2013-08-06,False
c:153407,Flybridge Capital Partners,IGV,2013-01-12,2013-03-31,2013-09-25,False
c:153407,Greycroft Partners,IGV,2013-01-12,2013-03-31,2013-09-25,False
c:153407,Tribeca Venture Partners,IGV,2013-01-12,2013-03-31,2013-09-25,False
c:153800,Charles River Ventures,IGV,2012-01-01,2012-03-31,2012-10-25,False
c:153851,Norwest Venture Partners,IGV,2012-04-03,2012-06-30,2013-03-07,False
c:153851,Lightspeed Venture Partners,IGV,2012-04-03,2012-06-30,2013-03-07,False
c:15395,DAG Ventures,IGV,2009-12-15,2009-12-31,2013-03-20,True
c:15443,Draper Fisher Jurvetson (DFJ),IGV,2006-05-17,2006-06-30,2008-12-10,True
c:155053,Draper Fisher Jurvetson (DFJ),IGV,2012-02-27,2012-03-31,2013-02-20,False
c:15547,Storm Ventures,IGV,2009-11-22,2009-12-31,2010-06-03,False
c:15556,OVP Venture Partners,IGV,2008-06-13,2008-06-30,2009-09-15,False
c:15557,Sigma Partners,IGV,2007-02-05,2007-03-31,2008-06-01,False
c:155570,Bessemer Venture Partners,XBI,2012-04-17,2012-06-30,2013-07-22,False
c:155570,Frazier Healthcare Ventures,XBI,2012-04-17,2012-06-30,2013-07-22,False
c:155705,Kleiner Perkins Caufield & Byers,IGV,2012-07-17,2012-09-30,2013-07-10,True
c:155705,New Enterprise Associates,IGV,2012-07-17,2012-09-30,2013-07-10,True
c:15598,Accel Partners,IGV,2008-04-01,2008-06-30,2010-03-02,False
c:15598,Foundation Capital,IGV,2008-04-01,2008-06-30,2010-03-02,False
c:1563,Highland Capital Partners,IGV,2007-08-22,2007-09-30,2008-03-19,False
c:1563,Draper Fisher Jurvetson (DFJ),IGV,2007-08-22,2007-09-30,2008-03-19,False
c:15639,General Catalyst Partners,IGV,2008-07-01,2008-09-30,2010-07-27,True
c:156471,Comcast Ventures,IGV,2011-03-01,2011-03-31,2013-01-23,False
c:156471,BlueRun Ventures,IGV,2009-09-19,2009-09-30,2013-01-23,False
c:156630,Kleiner Perkins Caufield & Byers,IGV,2012-04-26,2012-06-30,2013-01-07,False
c:156735,Battery Ventures,IGV,2013-04-01,2013-06-30,2013-11-06,False
c:157020,Trinity Ventures,IGV,2012-05-01,2012-06-30,2013-04-30,False
c:15738,Mayfield Fund,IGV,2010-04-28,2010-06-30,2011-01-10,False
c:15738,Greycroft Partners,IGV,2010-04-28,2010-06-30,2011-01-10,False
c:15738,Kleiner Perkins Caufield & Byers,IGV,2010-04-28,2010-06-30,2011-01-10,False
c:157821,Storm Ventures,IGV,2012-05-09,2012-06-30,2013-10-25,False
c:157821,True Ventures,IGV,2012-05-09,2012-06-30,2013-10-25,False
c:157890,Kleiner Perkins Caufield & Byers,IGV,2012-05-11,2012-06-30,2013-02-21,False
c:157890,Sequoia Capital,IGV,2012-05-11,2012-06-30,2013-02-21,False
c:1579,Matrix Partners,IGV,2007-11-01,2007-12-31,2009-08-11,False
c:158035,Matrix Partners,IGV,2012-04-10,2012-06-30,2013-10-28,False
c:158035,Foundation Capital,IGV,2012-04-10,2012-06-30,2013-10-28,False
c:15847,Shasta Ventures,IGV,2006-09-14,2006-09-30,2008-05-15,False
c:159071,Union Square Ventures,IGV,2011-10-19,2011-12-31,2012-09-17,False
c:159363,500 Startups,IGV,2013-01-07,2013-03-31,2013-11-04,True
c:16,Austin Ventures,IGV,2007-06-01,2007-06-30,2007-06-01,True
c:16,Mission Ventures,IGV,2007-06-01,2007-06-30,2007-06-01,False
c:160052,North Bridge Venture Partners,SOXX,2010-11-17,2010-12-31,2011-03-17,False
c:160585,Horizons Ventures,IGV,2012-08-02,2012-09-30,2013-06-19,False
c:1617,Hummer Winblad Venture Partners,IGV,2007-08-05,2007-09-30,2008-03-03,False
c:16191,New Enterprise Associates,IGV,2006-09-21,2006-09-30,2007-03-06,False
c:162011,Lightspeed Venture Partners,SOXX,2009-11-02,2009-12-31,2008-04-09,True
c:162182,Spark Capital,IGV,2010-09-01,2010-09-30,2011-01-01,False
c:162182,First Round Capital,IGV,2010-09-01,2010-09-30,2011-01-01,False
c:16266,Bessemer Venture Partners,IGV,2010-01-20,2010-03-31,2011-03-22,False
c:16266,Trinity Ventures,IGV,2010-01-20,2010-03-31,2011-03-22,False
c:16266,Felicis Ventures,IGV,2010-01-20,2010-03-31,2011-03-22,True
c:16266,Founders Fund,IGV,2010-01-20,2010-03-31,2011-03-22,True
c:162763,Nexus Venture Partners,IGV,2012-06-26,2012-06-30,2013-06-18,False
c:162946,Atlas Venture,IGV,2013-05-06,2013-06-30,2013-11-26,False
c:163001,First Round Capital,IGV,2012-03-09,2012-03-31,2013-10-10,False
c:163001,Andreessen Horowitz,IGV,2012-03-09,2012-03-31,2013-10-10,True
c:163001,Tom McInerney,IGV,2012-03-09,2012-03-31,2013-10-10,True
c:163001,Benchmark,IGV,2012-11-13,2012-12-31,2013-10-10,False
c:1635,Trinity Ventures,IGV,2013-04-25,2013-06-30,2006-01-01,False
c:1635,Mayfield Fund,IGV,2013-04-25,2013-06-30,2006-01-01,False
c:16384,Foundation Capital,IGV,2008-01-30,2008-03-31,2009-02-04,False
c:164373,Benchmark,IGV,2012-07-24,2012-09-30,2013-02-12,False
c:164373,Greylock Partners,IGV,2012-07-24,2012-09-30,2013-02-12,False
c:164373,Shasta Ventures,IGV,2012-07-24,2012-09-30,2013-02-12,False
c:164373,SV Angel,IGV,2012-07-24,2012-09-30,2013-02-12,True
c:1647,North Bridge Venture Partners,IGV,2007-12-01,2007-12-31,2009-07-17,False
c:1647,Sigma Partners,IGV,2007-12-01,2007-12-31,2009-07-17,False
c:16500,Benchmark,IGV,2008-07-01,2008-09-30,2009-01-06,False
c:165201,Benchmark,IGV,2012-11-08,2012-12-31,2013-02-19,False
c:165201,Data Collective,IGV,2012-11-08,2012-12-31,2013-02-19,True
c:16567,Atlas Venture,SOXX,2007-11-14,2007-12-31,2005-07-07,False
c:16568,Highland Capital Partners,IGV,2009-12-14,2009-12-31,2005-03-28,False
c:16568,Sigma Partners,IGV,2009-12-14,2009-12-31,2005-03-28,False
c:1659,First Round Capital,SOXX,2006-05-01,2006-06-30,2006-10-01,False
c:16661,BDC Venture Capital,SOXX,2008-01-01,2008-03-31,2008-03-25,True
c:166894,Bain Capital Ventures,IGV,2012-07-27,2012-09-30,2013-09-18,False
c:1669,Sequoia Capital,IGV,2008-07-10,2008-09-30,2008-09-01,False
c:1672,Atlas Venture,IGV,2007-08-21,2007-09-30,2005-07-01,False
