investor,tps_raw,top_tier_targets,companies_hit,portfolio_size,tps,out_degree
John Couch,2.6802790109905277,9,1,1,2.6802790109905277,5.814
Bill Randuchel,2.6802790109905277,9,1,1,2.6802790109905277,5.814
Claudio Chiuchiarelli,2.6802790109905277,9,1,1,2.6802790109905277,5.814
Duff Ackerman & Goodrich,2.673750324977542,8,1,1,2.673750324977542,6.7712
Jonathan Glick,2.22899437603909,6,1,1,2.22899437603909,4.6091999999999995
Tom Pinkney,2.22899437603909,6,1,1,2.22899437603909,4.6091999999999995
Shana Fisher,2.22899437603909,6,1,1,2.22899437603909,4.6091999999999995
Peter Stern,2.1946685085729567,5,1,1,2.1946685085729567,3.841
Dixon Doll,4.257413755777722,5,2,2,2.128706877888861,9.0915
Nova Spivack,2.093267641688261,13,1,1,2.093267641688261,10.5261
Fadi Ghandour,4.071620009423013,12,2,2,2.0358100047115064,8.8972
Lucid Ventures,2.0254756686433613,12,1,1,2.0254756686433613,9.7164
Hite Capital,1.8658375979579314,5,1,1,1.8658375979579314,3.785
Don Baer,1.7676997100365248,5,1,1,1.7676997100365248,3.7230000000000003
Jason Goldberg,1.7676997100365248,5,1,1,1.7676997100365248,3.7230000000000003
Jon Anderson,1.7676997100365248,5,1,1,1.7676997100365248,3.7230000000000003
Josh Elman,1.7482540333715675,4,1,1,1.7482540333715675,3.2952
Jeff Kearl,1.6965053221849267,6,1,1,1.6965053221849267,4.9182
Marten Mickos,1.6757930375885124,2,1,1,1.6757930375885124,1.8758
Youssri Helmy,1.6757930375885124,2,1,1,1.6757930375885124,1.8758
Qi Lu,1.6757930375885124,2,1,1,1.6757930375885124,1.8758
Andy Russell,3.3029961105666636,17,2,2,1.6514980552833318,12.8158
Avid Larizadeh,1.5873302905450393,8,1,1,1.5873302905450393,5.1552
Stephen Marcus,1.5873302905450393,8,1,1,1.5873302905450393,5.1552
Jim Moran,1.561836886731377,3,1,1,1.561836886731377,2.5941
Andrew McCollum,1.5533788364697425,7,1,1,1.5533788364697425,6.113099999999999
Peter Currie,1.5488759258548341,9,1,1,1.5488759258548341,7.2216000000000005
Quincy Smith,1.5488759258548341,9,1,1,1.5488759258548341,7.2216000000000005
Jon Callaghan,4.558406509627148,5,3,3,1.5194688365423827,11.6775
Citi Growth Ventures & Innovation Group,1.43965105868079,3,1,1,1.43965105868079,2.223
Rod Johnson,1.436902263446493,3,1,1,1.436902263446493,2.7567000000000004
David Goldberg,1.391340998432485,4,1,1,1.391340998432485,3.0832
Rajesh Sawhney,1.391340998432485,4,1,1,1.391340998432485,3.0832
The Raine Group,1.391340998432485,4,1,1,1.391340998432485,3.0832
Yaron Galai,1.3799412237024355,8,1,1,1.3799412237024355,5.3232
David Cowan,5.4931832377452,8,3,4,1.3732958094363,11.4909
Clarium Capital,2.712361164854597,11,1,2,1.3561805824272986,9.341199999999999
Cronus Ventures,1.3489112879853538,3,1,1,1.3489112879853538,2.4999000000000002
Jeff Jarvis,1.3484378703706779,3,1,1,1.3484378703706779,2.3274
Steve Anderson,2.6802790109905277,9,1,2,1.3401395054952638,5.814
Sam Lessin,2.6802790109905277,9,1,2,1.3401395054952638,5.814
Ruchi Sanghvi,2.6802790109905277,9,1,2,1.3401395054952638,5.814
Matt Cohler,2.6802790109905277,9,1,2,1.3401395054952638,5.814
Stan Shuman,5.217842393225847,10,3,4,1.3044605983064617,12.4815
Ted Rheingold,1.30351363523271,5,1,1,1.30351363523271,3.105
Tom Ryan,1.30351363523271,5,1,1,1.30351363523271,3.105
Bob Brinker,1.30351363523271,5,1,1,1.30351363523271,3.105
Anton Commissaris,1.3007828122254348,7,1,1,1.3007828122254348,2.7992999999999997
Alex Bresler,1.2991687389266502,4,1,1,1.2991687389266502,3.758
Rolf Christof Dienst,1.2524299809645327,6,1,1,1.2524299809645327,3.8952
Ulrich Essmann,1.2524299809645327,6,1,1,1.2524299809645327,3.8952
Joachim Schoss,1.2524299809645327,6,1,1,1.2524299809645327,3.8952
Christian Vollmann,1.2524299809645327,6,1,1,1.2524299809645327,3.8952
Tom Pinckney,1.239866656843009,7,1,1,1.239866656843009,4.0173
Geoff Vuleta,1.2381107604957269,3,1,1,1.2381107604957269,1.7985000000000002
Dustin Moskovitz,4.751753946612044,17,3,4,1.187938486653011,13.6096
Lisa Gansky,2.3683685453840053,8,1,2,1.1841842726920027,6.6608
Salman Ullah,1.178692889667837,9,1,1,1.178692889667837,2.872
Howard Morgan,1.178692889667837,9,1,1,1.178692889667837,2.872
Hugh Crean,3.456668051767747,11,3,3,1.1522226839225824,8.8095
Micah Siegel,1.1449100282117073,3,1,1,1.1449100282117073,2.3295
Information Capital LLC,1.1282740885460443,3,1,1,1.1282740885460443,2.223
Angus Davis,2.246120021797516,8,2,2,1.123060010898758,4.4387
T. Trent Gegax,2.1946685085729567,5,1,2,1.0973342542864783,3.841
Michael Yavonditte,2.1877348647279673,14,2,2,1.0938674323639836,11.3452
Skype,2.158671153338995,6,2,2,1.0793355766694974,5.181
iFund,1.0774157710276138,3,1,1,1.0774157710276138,2.4735
QVT Financial,1.0773750279712735,7,1,1,1.0773750279712735,6.2600999999999996
Manu Kumar,2.1461020559467108,6,2,2,1.0730510279733554,5.2051
Josh Felser,2.1255617577589816,10,2,2,1.0627808788794908,6.8852
Thomas Korte,2.093267641688261,13,1,2,1.0466338208441306,10.5261
"lessin X2, llc",1.0374393438685618,4,1,1,1.0374393438685618,2.6616
Brad Gerstner,2.0717590929926066,3,1,2,1.0358795464963033,2.5623
Bradley Horowitz,2.032763718900456,4,2,2,1.016381859450228,3.4192
SkyMoon Ventures,0.9947570032170248,2,1,1,0.9947570032170248,4.2948
Paul Sagan,0.9932395248743514,6,1,1,0.9932395248743514,3.4836
Hiroshi Mikitani,0.9932395248743514,6,1,1,0.9932395248743514,3.4836
Lars Dalgaard,0.9932395248743514,6,1,1,0.9932395248743514,3.4836
Andrew Thornton,0.988859333259086,3,1,1,0.988859333259086,4.1482
Jon Craton,0.988859333259086,3,1,1,0.988859333259086,3.5556
Carl Uminski,0.988859333259086,3,1,1,0.988859333259086,3.5556
David Lawee,0.9800353700705526,2,1,1,0.9800353700705526,1.7322
Patrick Pohlen,0.9800353700705526,2,1,1,0.9800353700705526,1.7322
Michael Abbott,0.9800353700705526,2,1,1,0.9800353700705526,1.7322
Michael Bronner,0.9713922042153165,3,1,1,0.9713922042153165,2.4591
Larry Bock,0.9623289053278624,16,1,1,0.9623289053278624,12.8288
Dave Dolby,0.9623289053278624,16,1,1,0.9623289053278624,12.8288
Chris Michel,2.8112876052566103,9,2,3,0.93709586841887,7.1682
Glenn Winokur,0.9320312208381525,3,1,1,0.9320312208381525,2.1759
Diane Greene,4.652394410024385,10,4,5,0.930478882004877,9.1142
Geitner Investment,0.9146744618456444,1,1,1,0.9146744618456444,0.9511
Carrington Equity,0.9146744618456444,1,1,1,0.9146744618456444,0.9511
Ammer!Partners,0.9146744618456444,1,1,1,0.9146744618456444,0.9511
Scott Petry,0.9011194266769682,6,1,1,0.9011194266769682,3.1878
Maurice Werdegar,2.6802790109905277,9,1,3,0.8934263369968426,5.814
Jim Barnett,0.8909866429653539,3,1,1,0.8909866429653539,2.529
Interplay Ventures,0.8856339359807465,3,1,1,0.8856339359807465,2.5062
Frontier Management Group,0.881908163749609,1,1,1,0.881908163749609,1.7638
Scott Kurnit,5.207641526470505,8,4,6,0.8679402544117508,13.118500000000001
Longwood Founders Fund,0.8522070367305687,5,1,1,0.8522070367305687,4.1055
Parker Weil,0.8500353436889428,2,1,1,0.8500353436889428,1.4364
Gregory Avis,0.8500353436889428,2,1,1,0.8500353436889428,1.4364
Dick Costolo,1.670573742411401,8,2,2,0.8352868712057006,6.08
iOCS Corporation,0.8236432372553567,4,1,1,0.8236432372553567,4.1868
Brook Ventures,0.8210247380125707,4,1,1,0.8210247380125707,3.032
PAR Capital,0.8210247380125707,4,1,1,0.8210247380125707,3.032
The Iron Yard,0.8193434104052961,9,1,1,0.8193434104052961,7.005599999999999
Five Mill Ventures,0.8193434104052961,9,1,1,0.8193434104052961,7.005599999999999
Omninet,0.816514801685573,8,1,1,0.816514801685573,4.3208
DFJ JAIC,0.8144108406977737,3,1,1,0.8144108406977737,2.3256
Gideon Yu,2.438603709704096,6,2,3,0.8128679032346987,4.5702
Gary Kremen,0.8126302015852194,3,1,1,0.8126302015852194,2.1144
Marcus Ogawa,0.8126302015852194,3,1,1,0.8126302015852194,2.1144
Lorenzo Thione,0.8126302015852194,3,1,1,0.8126302015852194,2.1144
LaunchTime,0.8106881205372414,4,1,1,0.8106881205372414,2.8192
Lane Bess,0.8073980787023713,3,1,1,0.8073980787023713,2.6528
Mike Hirshland,1.612534530135767,5,1,2,0.8062672650678835,3.989
Ed Sim,0.803117919037142,4,1,1,0.803117919037142,2.986
Rob Solomon,0.7969942369329783,2,1,1,0.7969942369329783,1.0198
Shawn Hardin,0.7931770075975904,3,1,1,0.7931770075975904,1.9491
Jordan Greenhall,0.7931770075975904,3,1,1,0.7931770075975904,1.9491
Alex Welch,0.7931770075975904,3,1,1,0.7931770075975904,1.9491
Joel Hyatt,0.7890357027747552,4,1,1,0.7890357027747552,2.3588
Fritz Demopoulos,0.7782526026530192,3,1,1,0.7782526026530192,1.6949999999999998
The Chernin Group,1.5488759258548341,9,1,2,0.7744379629274171,7.2216000000000005
Jeff Weiner,3.0911144000523207,10,3,4,0.7727786000130802,6.5861
"Kapor Enterprises, Inc.",0.7720160811485176,5,1,1,0.7720160811485176,4.0152
Ron Zuckerman,0.7685002686116189,1,1,1,0.7685002686116189,0.7991
John Johnson,0.7617265251608414,7,1,1,0.7617265251608414,4.0306
Roger Evans,0.7606096308661405,2,1,1,0.7606096308661405,1.1282
Bill Gurley,0.7606096308661405,2,1,1,0.7606096308661405,1.1282
Angel Investment Partners,0.7540838922664399,4,1,1,0.7540838922664399,2.3085
Brian O'Kelley,1.5001371463677835,6,2,2,0.7500685731838918,3.42
Thomas D. Lehrman,2.203796748770315,22,3,3,0.7345989162567718,17.0111
Russell Simmons,0.7309450186976898,1,1,1,0.7309450186976898,0.7601
Al Avery,0.7269231224657602,2,1,1,0.7269231224657602,1.4096
Jay Gould,1.4307752955589246,12,2,2,0.7153876477794623,8.061
Kevin Rose,4.949615964594622,16,3,7,0.7070879949420888,10.9362
Pete Grillo,0.6976552787158283,3,1,1,0.6976552787158283,2.4252000000000002
Schoffstall Ventures,0.696399115486838,3,1,1,0.696399115486838,2.1687
Julie Davidson,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Mike Tatum,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Cooley LLP,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Om Malik,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Jonathan Heiliger,1.391340998432485,4,1,2,0.6956704992162425,3.0832
Neoteny Labs,1.391340998432485,4,1,2,0.6956704992162425,3.0832
